CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL
12860697010497,12777128010497,102010497,,2005,41,0,5,93124,1,,2005,11,10,,1,1,4,4,44.91407,-122.130158,3500,,,2,2,M242Bb,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26533,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12860873010497,12777128010497,102010497,,2005,41,0,5,63350,1,,2005,11,1,,1,1,1,0,44.888816,-121.960003,4500,,,2,,M242Bb,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26423,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12861140010497,12777128010497,102010497,,2005,41,0,5,61270,1,,2005,11,8,,1,1,4,4,44.955711,-122.473659,1700,,,2,,M242Ba,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26643,1,4,30,1,5,6,0,5,,,,,,,,,7,2
12861313010497,12777128010497,102010497,,2005,41,0,5,74499,1,,2005,11,14,,1,1,2,0,45.341895,-122.048893,4300,,,2,,M242Ba,4103,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26421,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12861454010497,12777128010497,102010497,,2005,41,0,5,68774,1,,2005,11,9,,1,1,3,0,44.963423,-122.140126,1900,,,2,,M242Ba,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26533,1,4,30,1,5,6,0,1,,,,,,,,,7,2
12861691010497,12777128010497,102010497,,2005,41,0,5,62673,1,,2005,7,15,,1,1,4,0,45.06369,-121.99108,2900,,,2,,M242Bb,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26533,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12862079010497,12777128010497,102010497,,2005,41,0,5,60189,1,,2005,11,9,,1,1,1,0,45.113081,-122.515729,700,,,2,, 242Bd,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26642,1,4,30,1,5,6,0,5,,,,,,,,,7,2
12862257010497,12777128010497,102010497,,2005,41,0,5,94888,1,,2005,7,30,,1,1,5,1,45.136703,-122.162285,1500,,,2,,M242Ba,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26533,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12862533010497,12777128010497,102010497,,2005,41,0,5,52212,1,,2005,12,15,,1,1,2,0,45.154578,-122.333808,2100,,,2,,M242Ba,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26642,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12862828010497,12777128010497,102010497,,2005,41,0,5,71549,1,,2005,9,11,,1,1,5,0,45.155635,-121.84702,4500,,,2,,M242Bc,4105,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17,26422,1,4,30,1,5,6,0,3,,,,,,,,,7,2
12863121010497,12777128010497,102010497,,2005,41,0,5,88974,1,,2005,7,23,,1,1,5,0,45.205078,-121.996056,3700,,,2,,M242Bb,4103,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26422,1,4,30,1,5,6,0,4,,,,,,,,,7,2
12863525010497,12777128010497,102010497,,2005,41,0,5,85823,1,,2005,5,17,,1,1,4,0,45.258244,-122.544421,700,,,2,, 242Bd,4103,2,,1,,02/22/06 12:00 AM,10497,,08/08/17 12:00 AM,489998,OFFSET,17.5,26641,1,4,30,1,5,6,0,7,,,,,,,,,7,2
