CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,ECOSUBCD,CONGCD,MANUAL,KINDCD_NC,QA_STATUS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICROPLOT_LOC,DECLINATION,EMAP_HEX,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,ECO_UNIT_PNW,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL
10775507020004,48201640010497,105010497,,2011,41,2,11,60402,1,,2011,10,28,,3,1,7,0,43.04,-123.9,1500,,,3,,M242Ag,4104,5,,1,,7/26/2012 0:00,20004,,8/8/2017 0:00,489998,OFFSET,16,27286,1,4,30,1,6,2,,4,0,,,2,3,0,,,7,1
12777129010497,12777128010497,129010497,,2005,41,4,59,81694,1,,2005,6,10,,1,1,7,4,45.06,-118.76,4700,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25263,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12777463010497,12777128010497,129010497,,2005,41,4,59,67643,1,,2005,5,30,,1,1,6,0,45.08,-118.58,5900,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25142,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12777856010497,12777128010497,129010497,,2005,41,4,59,95355,1,,2005,6,6,,1,1,2,0,45.19,-119.12,4900,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25383,1,4,24,1,5,6,0,1,,,,,,,,,7,2
12778045010497,12777128010497,129010497,,2005,41,4,59,50581,1,,2005,6,9,,1,1,1,0,45.23,-118.77,4700,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25263,1,4,24,1,5,6,0,1,,,,,,,,,7,2
12778284010497,12777128010497,129010497,,2005,41,4,59,85273,1,,2005,5,10,,1,1,5,1,45.25,-118.96,4100,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25383,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12778469010497,12777128010497,129010497,,2005,41,4,59,98867,1,,2005,9,21,,1,1,4,0,45.4,-118.47,4500,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25140,1,4,24,1,5,6,0,4,,,,,,,,,7,2
12778644010497,12777128010497,129010497,,2005,41,4,59,89703,1,,2005,6,4,,1,1,6,1,45.45,-118.27,3300,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25018,1,4,24,1,5,6,0,5,,,,,,,,,7,2
12778871010497,12777128010497,129010497,,2005,41,4,59,91976,1,,2005,9,8,,1,1,5,0,45.54,-118.47,3900,,,2,,M332Gc,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,16.5,25140,1,4,24,1,5,6,0,3,,,,,,,,,7,2
12779038010497,12777128010497,129010497,,2005,41,4,59,74342,1,,2005,6,4,,1,1,2,1,45.55,-118.12,5500,,,2,,M332Gl,4102,2,,1,,2/22/2006 0:00,10497,,8/8/2017 0:00,489998,OFFSET,17,25017,1,4,24,1,5,6,0,5,,,,,,,,,7,2
