Identifier,DataFile,FileTitle,Total return count,Return 1 count,Return 2 count,Return 3 count,Return 4 count,Return 5 count,Return 6 count,Return 7 count,Return 8 count,Return 9 count,Other return count,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Percentage first returns above 4.50,Percentage all returns above 4.50,(All returns above 4.50) / (Total first returns) * 100,First returns above 4.50,All returns above 4.50,Percentage first returns above mean,Percentage first returns above mode,Percentage all returns above mean,Percentage all returns above mode,(All returns above mean) / (Total first returns) * 100,(All returns above mode) / (Total first returns) * 100,First returns above mean,First returns above mode,All returns above mean,All returns above mode,Total first returns,Total all returns,Elev strata (below 0.00) total return count,Elev strata (below 0.00) return proportion,Elev strata (below 0.00) min,Elev strata (below 0.00) max,Elev strata (below 0.00) mean,Elev strata (below 0.00) mode,Elev strata (below 0.00) median,Elev strata (below 0.00) stddev,Elev strata (below 0.00) CV,Elev strata (below 0.00) skewness,Elev strata (below 0.00) kurtosis,Elev strata (0.00 to 0.15) total return count,Elev strata (0.00 to 0.15) return proportion,Elev strata (0.00 to 0.15) min,Elev strata (0.00 to 0.15) max,Elev strata (0.00 to 0.15) mean,Elev strata (0.00 to 0.15) mode,Elev strata (0.00 to 0.15) median,Elev strata (0.00 to 0.15) stddev,Elev strata (0.00 to 0.15) CV,Elev strata (0.00 to 0.15) skewness,Elev strata (0.00 to 0.15) kurtosis,Elev strata (0.15 to 1.37) total return count,Elev strata (0.15 to 1.37) return proportion,Elev strata (0.15 to 1.37) min,Elev strata (0.15 to 1.37) max,Elev strata (0.15 to 1.37) mean,Elev strata (0.15 to 1.37) mode,Elev strata (0.15 to 1.37) median,Elev strata (0.15 to 1.37) stddev,Elev strata (0.15 to 1.37) CV,Elev strata (0.15 to 1.37) skewness,Elev strata (0.15 to 1.37) kurtosis,Elev strata (1.37 to 5.00) total return count,Elev strata (1.37 to 5.00) return proportion,Elev strata (1.37 to 5.00) min,Elev strata (1.37 to 5.00) max,Elev strata (1.37 to 5.00) mean,Elev strata (1.37 to 5.00) mode,Elev strata (1.37 to 5.00) median,Elev strata (1.37 to 5.00) stddev,Elev strata (1.37 to 5.00) CV,Elev strata (1.37 to 5.00) skewness,Elev strata (1.37 to 5.00) kurtosis,Elev strata (5.00 to 10.00) total return count,Elev strata (5.00 to 10.00) return proportion,Elev strata (5.00 to 10.00) min,Elev strata (5.00 to 10.00) max,Elev strata (5.00 to 10.00) mean,Elev strata (5.00 to 10.00) mode,Elev strata (5.00 to 10.00) median,Elev strata (5.00 to 10.00) stddev,Elev strata (5.00 to 10.00) CV,Elev strata (5.00 to 10.00) skewness,Elev strata (5.00 to 10.00) kurtosis,Elev strata (10.00 to 20.00) total return count,Elev strata (10.00 to 20.00) return proportion,Elev strata (10.00 to 20.00) min,Elev strata (10.00 to 20.00) max,Elev strata (10.00 to 20.00) mean,Elev strata (10.00 to 20.00) mode,Elev strata (10.00 to 20.00) median,Elev strata (10.00 to 20.00) stddev,Elev strata (10.00 to 20.00) CV,Elev strata (10.00 to 20.00) skewness,Elev strata (10.00 to 20.00) kurtosis,Elev strata (20.00 to 30.00) total return count,Elev strata (20.00 to 30.00) return proportion,Elev strata (20.00 to 30.00) min,Elev strata (20.00 to 30.00) max,Elev strata (20.00 to 30.00) mean,Elev strata (20.00 to 30.00) mode,Elev strata (20.00 to 30.00) median,Elev strata (20.00 to 30.00) stddev,Elev strata (20.00 to 30.00) CV,Elev strata (20.00 to 30.00) skewness,Elev strata (20.00 to 30.00) kurtosis,Elev strata (above 30.00) total return count,Elev strata (above 30.00) return proportion,Elev strata (above 30.00) min,Elev strata (above 30.00) max,Elev strata (above 30.00) mean,Elev strata (above 30.00) mode,Elev strata (above 30.00) median,Elev strata (above 30.00) stddev,Elev strata (above 30.00) CV,Elev strata (above 30.00) skewness,Elev strata (above 30.00) kurtosis
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634.las",clipLidar_60634,93964,79346,12161,2235,214,8,0,0,0,0,0,539.270020,692.289978,580.300546,541.698908,44.944020,2019.964892,0.077450,79.199951,0.736134,1.921749,40.685814,5.909973,5.221075,580.300546,23.692320,7.462226,-1.056540,0.040828,0.314964,-0.044594,540.450012,542.549988,543.210022,543.669983,543.900024,544.130005,544.549988,546.919983,572.799988,611.580017,623.099976,634.432007,652.099976,661.250000,673.719971,0.268138,582.038373,583.825721,0.000000,255.000000,135.957526,170.000000,59.887173,3586.473479,0.440484,87.000000,-0.655983,2.303538,50.111789,135.957526,33.272627,-6.189335,2.243855,0.244728,-0.186019,0.067438,14.000000,21.000000,34.000000,72.000000,93.000000,112.000000,140.000000,156.000000,166.000000,175.000000,180.000000,185.000000,199.000000,211.000000,232.000000,100.000000,100.000000,118.423109,79346,93964,36.194641,97.403776,38.669065,97.235111,45.793109,115.148842,28719,77286,36335,91366,79346,93964,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,93964,1.000000,539.270020,692.289978,580.300546,541.698908,546.919983,44.944020,0.077450,0.736134,1.921749
65759,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_65759.las",clipLidar_65759,376434,179518,100732,64097,32087,0,0,0,0,0,0,419.519989,632.969971,505.404742,426.296179,62.141525,3861.569150,0.122954,126.210022,0.026387,1.486789,56.716588,61.119995,83.843834,505.404742,35.426000,0.732447,-2.915592,0.070094,0.020675,-0.082301,421.779999,424.570007,427.200012,432.549988,436.190002,445.899994,475.660004,510.140015,538.419983,555.909973,562.400024,569.359985,584.840027,595.729980,611.750000,0.402365,509.210675,512.940290,1.000000,84.000000,14.724865,1.000000,13.565199,184.014628,0.921244,19.000000,1.003554,3.046067,11.248021,14.724865,7.329013,2.045519,0.424582,0.497730,0.279099,0.057932,1.000000,1.000000,1.000000,3.000000,4.000000,5.000000,7.000000,10.000000,14.000000,20.000000,23.000000,27.000000,36.000000,42.000000,51.000000,100.000000,100.000000,209.691507,179518,376434,42.505487,85.319021,51.343927,91.810517,107.663855,192.518856,76305,153163,193276,345606,179518,376434,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,376434,1.000000,419.519989,632.969971,505.404742,426.296179,510.140015,62.141525,0.122954,0.026387,1.486789
74773,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_74773.las",clipLidar_74773,92756,83215,8672,836,32,1,0,0,0,0,0,784.650024,912.469971,816.850781,790.736689,24.542794,602.348716,0.030046,34.219971,0.936098,2.951466,20.316451,14.299988,17.593328,816.850781,13.407726,3.295088,0.997546,0.016414,0.245760,0.074401,786.909973,789.469971,791.700012,795.469971,797.700012,799.770020,803.840027,808.330017,814.369995,826.179993,831.919983,839.369995,856.429993,866.210022,879.630005,0.251923,817.219395,817.593864,0.000000,255.000000,122.469080,170.000000,59.845670,3581.504224,0.488659,113.000000,-0.328048,1.771436,52.661523,122.469080,34.003841,-3.486701,-0.407470,0.277652,-0.102538,-0.011983,15.000000,26.000000,35.000000,50.000000,59.000000,79.000000,116.000000,140.000000,155.000000,166.000000,172.000000,177.000000,190.000000,202.000000,221.000000,100.000000,100.000000,111.465481,83215,92756,37.215646,91.366941,38.060072,92.213981,42.423842,102.786757,30969,76031,35303,85534,83215,92756,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,92756,1.000000,784.650024,912.469971,816.850781,790.736689,808.330017,24.542794,0.030046,0.936098,2.951466
76297,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_76297.las",clipLidar_76297,96558,69902,21153,4608,804,91,0,0,0,0,0,297.869995,475.920013,365.304159,362.872383,29.823335,889.431337,0.081640,34.320007,0.236036,3.267993,22.605755,17.459991,17.967613,365.304159,16.588857,0.338204,2.785703,0.045411,0.020387,0.167926,305.119995,313.059998,323.489990,340.720001,348.459991,354.070007,360.040009,364.529999,370.410004,378.410004,382.779999,387.170013,401.649017,418.640015,445.279999,0.378737,366.519509,367.738069,0.000000,255.000000,125.712277,255.000000,79.009009,6242.423547,0.628491,134.000000,-0.106807,1.872631,67.110278,125.712277,45.308486,-1.310013,0.539699,0.360414,-0.028913,0.011912,2.000000,5.000000,7.000000,34.000000,50.000000,75.000000,113.000000,137.000000,157.000000,176.000000,184.000000,198.000000,233.000000,255.000000,255.000000,100.000000,100.000000,138.133387,69902,96558,55.011302,61.835141,48.191760,54.170550,66.568911,74.827616,38454,43224,46533,52306,69902,96558,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,96558,1.000000,297.869995,475.920013,365.304159,362.872383,364.529999,29.823335,0.081640,0.236036,3.267993
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634.las",clipLidar_60634,93964,79346,12161,2235,214,8,0,0,0,0,0,539.270020,692.289978,580.300546,541.698908,44.944020,2019.964892,0.077450,79.199951,0.736134,1.921749,40.685814,5.909973,5.221075,580.300546,23.692320,7.462226,-1.056540,0.040828,0.314964,-0.044594,540.450012,542.549988,543.210022,543.669983,543.900024,544.130005,544.549988,546.919983,572.799988,611.580017,623.099976,634.432007,652.099976,661.250000,673.719971,0.268138,582.038373,583.825721,0.000000,255.000000,135.957526,170.000000,59.887173,3586.473479,0.440484,87.000000,-0.655983,2.303538,50.111789,135.957526,33.272627,-6.189335,2.243855,0.244728,-0.186019,0.067438,14.000000,21.000000,34.000000,72.000000,93.000000,112.000000,140.000000,156.000000,166.000000,175.000000,180.000000,185.000000,199.000000,211.000000,232.000000,100.000000,100.000000,118.423109,79346,93964,36.194641,97.403776,38.669065,97.235111,45.793109,115.148842,28719,77286,36335,91366,79346,93964,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,93964,1.000000,539.270020,692.289978,580.300546,541.698908,546.919983,44.944020,0.077450,0.736134,1.921749
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634_1.las",clipLidar_60634_1,11830,8298,2874,588,67,3,0,0,0,0,0,542.489990,692.289978,620.188845,542.489990,41.037025,1684.037461,0.066169,59.209961,-0.643890,2.249410,34.071959,26.179993,87.630005,620.188845,22.913530,-3.950708,0.978220,0.036946,-0.172418,0.042692,543.570007,544.159973,544.909973,581.677979,594.100037,605.830994,618.884033,630.119995,640.750000,649.409973,653.309998,657.385986,664.729980,670.816528,680.609985,0.518684,621.544929,622.853549,0.000000,252.000000,99.841927,16.000000,57.282961,3281.337594,0.573737,104.000000,0.021134,1.782734,50.254641,99.841927,32.949500,0.109789,-0.566077,0.330017,0.003332,-0.017180,12.000000,17.000000,22.000000,34.000000,45.000000,56.000000,81.000000,104.000000,124.000000,141.000000,149.000000,157.000000,173.000000,185.000000,212.000000,100.000000,100.000000,142.564473,8298,11830,70.896602,100.000000,59.120879,99.991547,84.285370,142.552422,5883,8298,6994,11829,8298,11830,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,11830,1.000000,542.489990,692.289978,620.188845,542.489990,630.119995,41.037025,0.066169,-0.643890,2.249410
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634_10.las",clipLidar_60634_10,2363,2326,32,5,0,0,0,0,0,0,0,544.159973,549.210022,545.299475,544.801249,0.750715,0.563572,0.001377,0.719971,1.866846,7.426300,0.531380,0.330017,0.341227,545.299475,0.375797,0.111411,0.084512,0.000689,0.296466,0.224886,544.320007,544.489990,544.619995,544.750000,544.820007,544.880005,544.979980,545.109985,545.239990,545.409973,545.539978,545.669983,546.229980,546.849976,548.211400,0.225642,545.299992,545.300166,15.000000,255.000000,174.831570,182.619048,49.032368,2404.173143,0.280455,41.500000,-1.359252,4.857650,33.774722,174.831570,25.057429,-5.398337,6.160585,0.143323,-0.215439,0.245859,39.000000,46.000000,112.199997,157.000000,162.000000,167.000000,174.800003,182.000000,189.000000,198.000000,203.500000,209.000000,225.000000,240.000000,253.380000,100.000000,100.000000,101.590714,2326,2363,36.672399,77.171109,36.859924,77.486246,37.446260,78.718831,853,1795,871,1831,2326,2363,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2363,1.000000,544.159973,549.210022,545.299475,544.801249,545.109985,0.750715,0.001377,1.866846,7.426300
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634_11.las",clipLidar_60634_11,9050,9001,49,0,0,0,0,0,0,0,0,543.140015,566.400024,548.102165,543.878428,7.238589,52.397176,0.013207,1.570007,1.526733,3.522348,5.747421,0.390015,0.511587,548.102165,3.156370,1.775503,0.657486,0.005759,0.562514,0.208305,543.640015,543.830017,543.929993,544.059998,544.130005,544.159973,544.260010,544.390015,544.690002,545.109985,545.700012,557.549988,562.429993,564.400024,565.909973,0.213334,548.149956,548.198031,15.000000,255.000000,166.557901,178.809524,40.846489,1668.435646,0.245239,33.000000,-1.471418,5.635341,27.610033,166.557901,20.558344,-4.607040,5.652651,0.123431,-0.224096,0.274957,39.000000,59.000000,123.000000,151.000000,156.000000,161.000000,167.000000,173.000000,179.000000,185.000000,189.000000,193.000000,207.000000,218.000000,239.510000,100.000000,100.000000,100.544384,9001,9050,21.753139,93.345184,21.635359,93.325967,21.753139,93.834018,1958,8402,1958,8446,9001,9050,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,9050,1.000000,543.140015,566.400024,548.102165,543.878428,544.390015,7.238589,0.013207,1.526733,3.522348
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634_12.las",clipLidar_60634_12,2367,2367,0,0,0,0,0,0,0,0,0,544.059998,545.469971,544.498093,544.418086,0.145892,0.021284,0.000268,0.200012,1.009710,6.582203,0.108818,0.099976,0.101934,544.498093,0.078118,0.006258,0.013435,0.000143,0.080110,0.171985,544.190002,544.289978,544.320007,544.390015,544.390015,544.419983,544.460022,544.489990,544.520020,544.549988,544.590027,544.590027,544.650024,544.719971,544.979980,0.310712,544.498112,544.497789,113.000000,238.000000,152.434305,146.730159,15.560662,242.134207,0.102081,19.000000,0.622828,3.710478,12.234411,152.434305,8.651048,0.895579,1.160687,0.056753,0.103523,0.134167,122.000000,130.000000,134.000000,139.000000,142.000000,143.000000,147.000000,151.000000,155.000000,159.000000,161.000000,165.000000,173.000000,181.000000,195.000000,100.000000,100.000000,100.000000,2367,2367,46.049852,74.947191,46.049852,74.947191,46.049852,74.947191,1090,1774,1090,1774,2367,2367,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2367,1.000000,544.059998,545.469971,544.498093,544.418086,544.489990,0.145892,0.000268,1.009710,6.582203
60634,"D:/ForestMappingCIG/Data/Lidar/output/clipLidar_60634_13.las",clipLidar_60634_13,6708,6708,0,0,0,0,0,0,0,0,0,543.080017,545.309998,544.062027,544.389688,0.419811,0.176241,0.000772,0.719971,-0.036340,1.932705,0.367172,0.360046,0.359659,544.062027,0.241176,-0.004266,0.002202,0.000443,-0.017686,0.009132,543.270020,543.409973,543.500000,543.640015,543.700012,543.770020,543.900024,544.090027,544.260010,544.359985,544.419983,544.460022,544.590027,544.690002,544.880005,0.440367,544.062189,544.062008,60.000000,253.000000,172.388790,167.222222,19.055302,363.104523,0.110537,25.000000,0.354541,3.464075,15.012384,172.388790,10.657192,0.635721,1.430470,0.061821,0.059652,0.134226,133.000000,143.000000,149.000000,157.000000,159.000000,162.000000,167.000000,171.000000,176.000000,181.000000,184.000000,188.000000,197.000000,205.000000,223.000000,100.000000,100.000000,100.000000,6708,6708,50.268336,29.919499,50.268336,29.919499,50.268336,29.919499,3372,2007,3372,2007,6708,6708,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,0.0,-9999.0,-9999.0,0.000000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,6708,1.000000,543.080017,545.309998,544.062027,544.389688,544.090027,0.419811,0.000772,-0.036340,1.932705
