"PLOT","INVYR","STATECD","UNITCD","COUNTYCD","LAT","LON","Project","PROGRAM","lidarYear","Acres","ID","distYear"
56137,2005,41,3,35,42.39,-122.07,"Klamath","OLC",2010,"1280462",1,0
67025,2005,41,3,35,42.54,-122.09,"Klamath","OLC",2010,"1280462",2,0
99771,2005,41,3,35,42.63,-121.29,"Klamath","OLC",2010,"1280462",3,0
69709,2005,41,3,35,42.7,-122.1,"Klamath","OLC",2010,"1280462",4,0
72880,2005,41,3,35,42.65,-120.93,"Klamath","OLC",2010,"1280462",5,0
63792,2005,41,3,35,42.75,-121.46,"Klamath","OLC",2010,"1280462",6,0
85823,2005,41,0,5,45.25,-122.54,"Metro","OLC",2014,"1550826",7,0
86617,2005,41,2,29,42.05,-122.3,"Keno","OLC",2014,"355352",8,0
89826,2005,41,3,35,42.04,-122.01,"Keno","OLC",2014,"355352",9,0
83957,2005,41,3,35,42.1,-122.16,"Keno","OLC",2014,"355352",10,0
50077,2005,41,3,35,42.25,-122.22,"Keno","OLC",2014,"355352",11,0
53191,2005,41,0,51,45.5,-121.91,"Metro","OLC",2014,"1550826",12,0
75326,2005,41,0,51,45.5,-122.05,"Metro","OLC",2014,"1550826",13,0
81651,2005,41,0,5,45.3,-122.68,"Metro","OLC",2014,"1550826",14,0
98337,2005,41,3,35,42.93,-121.49,"Klamath","OLC",2010,"1280462",15,0
92774,2013,41,3,35,42.27,-122.22,"Keno","OLC",2014,"355352",16,0
53795,2013,41,0,5,45.45,-121.87,"Metro","OLC",2014,"1550826",17,0
87176,2013,41,0,51,45.5,-122.01,"Metro","OLC",2014,"1550826",18,0
83621,2013,41,0,51,45.52,-122.01,"Metro","OLC",2014,"1550826",19,0
54631,2007,41,0,5,45.42,-121.87,"Metro","OLC",2014,"1550826",20,0
76034,2007,41,0,51,45.48,-121.88,"Metro","OLC",2014,"1550826",21,0
79947,2014,41,2,29,42.15,-122.39,"Cascade-Siskiyou National Monument","OLC",2017,"206598",22,0
75123,2014,41,2,29,42.1,-122.51,"Cascade-Siskiyou National Monument","OLC",2017,"206598",23,0
53818,2007,41,3,35,42.66,-121.32,"Klamath","OLC",2010,"1280462",24,0
72863,2007,41,3,35,42.61,-121.26,"Klamath","OLC",2010,"1280462",25,0
95919,2007,41,3,35,42.66,-121.86,"Klamath","OLC",2010,"1280462",26,0
85195,2007,41,3,35,42.86,-121.65,"Klamath","OLC",2010,"1280462",27,0
68622,2007,41,3,35,42.47,-122.09,"Klamath","OLC",2010,"1280462",28,0
93043,2007,41,3,35,42.74,-121.8,"Klamath","OLC",2010,"1280462",29,0
83235,2007,41,3,35,42.64,-122.12,"Klamath","OLC",2010,"1280462",30,0
83123,2008,41,3,35,42.3,-121.8,"Klamath","OLC",2010,"1280462",31,0
