uuid,lidar_year,num_returns,strat0_return-proportion,strat1_return-proportion,strat2_return-proportion,strat3_return-proportion,strat4_return-proportion,strat5_return-proportion,skewness,kurtosis,strat0_intensity-median,strat1_intensity-median,strat2_intensity-median,strat3_intensity-median,strat4_intensity-median,strat5_intensity-median,height_05-percentile,height_25-percentile,height_50-percentile,height_75-percentile,height_95_percentile,height_max,cover,lidar_acq,potential_volume,stddev_height,surface_area_ratio,surface_volume,surface_volume_ratio,aspect,elevation,overall_curvature,plan_curvature,profile_curvature,slope,solar_radiation_index
00027724,2015,10501,0.911437,0.015141,0.038568,0.01038,0.0,0.0,4.257214,21.073104,91.0,99.0,55.0,61.0,86.0,-9999.0,0.0,0.0,0.0,0.0,4.83,12.91,7.342158,four-rivers_2014-2015,94.0,0.0795459970831871,1.0243749618530271,1.406838059425354,0.025674499571323398,131.97630310058594,1328.897216796875,0.4869999885559082,-0.07015000283718109,0.10244999825954436,11.935199737548828,1.7980999946594238
0080963b,2008,11780,0.065025,0.070458,0.024363,0.104669,0.16562000000000002,0.5023770000000001,-0.421059,1.886607,83.0,74.0,32.0,28.0,26.0,33.0,0.0,12.577499,30.09,37.939999,46.5005,55.369999,86.451613,or-south-coast_2008,5046.0,11.256772994995117,7.121908664703369,3391.4521484375,0.7170140147209167,79.73994445800781,473.59185791015625,-3.583899974822998,1.7758500576019287,-1.8042500019073489,21.870651245117188,1.6547000408172607
0083eb5e,2006,8349,0.46832,0.174991,0.093664,0.166247,0.059408,0.0,1.36209,3.5503839999999998,32.0,31.0,14.0,8.0,10.0,-9999.0,0.0,0.0,0.17,8.68,20.77,27.379999,35.668942,ahtanum_2006,2658.0,8.932764053344727,6.092628002166747,831.681884765625,0.3128980100154877,13.249500274658205,1487.0823974609375,-0.8318499922752379,0.09035000205039978,-0.8589500188827515,20.407150268554688,1.3992999792099
008dc9d1,2013,8660,0.1,0.031409,0.00127,0.005889,0.270901,0.585797,-1.80935,4.74217,21.0,16.0,13.0,32.0,15.0,83.0,0.0,28.209999,30.77,33.34,36.189999,41.259998,86.859122,tulalip_2013,3718.5,2.5793581008911133,2.883042335510254,3173.70703125,0.8602250218391418,129.07749938964844,474.7408447265625,-3.886350154876709,0.2330000102519989,-3.9314000606536874,21.365549087524414,1.672100067138672
008dc9d1,2016,19629,0.09486,0.039737,0.0016809999999999998,0.003922999999999999,0.284375,0.570177,-1.753987,4.559756,13959.0,8639.5,5944.0,7260.0,7801.0,13707.5,0.0,27.57,30.74,33.330002,36.189999,40.57,86.540323,wa-western_2016,3895.0,2.4444005489349365,2.5535168647766118,3310.49169921875,0.8691135048866272,322.94561767578125,474.60650634765625,0.07304999232292175,-0.036449998617172234,0.18490000069141388,4.315299987792969,1.617799997329712
00900e38,2008,7016,0.021095,0.070268,0.015251,0.076539,0.237885,0.429019,-0.209731,1.9144419999999998,93.0,128.0,107.0,25.0,24.0,78.0,0.7275,6.9025,27.904999,37.512497,49.259998,59.41,90.86374,or-south-coast_2008,5065.5,15.030294418334961,8.159938812255861,2919.1435546875,0.5742855072021484,173.702392578125,115.50579833984376,-3.2736999988555913,0.16140000522136688,-3.132200002670288,11.478599548339846,1.7065999507904053
0097fe3e,2006,4270,0.292974,0.046604,0.263934,0.333489,0.002576,0.0,0.169247,1.7572259999999997,28.0,12.0,13.0,19.0,29.0,-9999.0,0.0,0.0,7.35,11.41,16.200001,21.559999,66.04215500000001,ahtanum_2006,1903.0001220703125,4.8245811462402335,4.367698192596436,952.08447265625,0.5137839913368225,33.453598022460945,1918.69580078125,-0.006700001657009125,0.03959999978542328,-0.03764999657869339,5.81689977645874,1.6237499713897705
00c27425,2006,5963,0.361898,0.236123,0.153949,0.137682,0.014758000000000004,0.0,1.4674989999999999,4.265554,34.0,33.0,23.0,26.0,27.0,-9999.0,0.0,0.0,0.33,6.4,15.88,23.83,40.197887,ahtanum_2006,1240.0,3.6303730010986333,2.749363422393799,350.43194580078125,0.237589493393898,127.44219970703124,1535.62646484375,1.47475004196167,-0.44819998741149897,0.653499960899353,18.39150047302246,1.7915000915527344
00e46fbb,2008,7736,0.016287,0.015253,0.036194,0.07936900000000001,0.19545,0.639736,-0.39079400000000003,2.40768,20.5,79.5,30.0,39.0,39.5,88.0,5.09,25.33,35.955002,48.259998,57.764999,63.939999,96.845915,or-south-coast_2008,6096.5,9.961031913757324,5.58816385269165,3857.32373046875,0.6362450122833252,255.3641357421875,172.4676513671875,6.740300178527832,-6.820149898529053,0.2058500051498413,31.07295036315918,1.5819499492645264
00f41c3d,2008,5208,0.03629,0.029186,0.018049000000000003,0.029186,0.102919,0.763057,-1.135095,3.3609120000000003,39.0,66.0,36.0,14.5,11.5,46.0,0.547,31.93,45.810001,51.779999,57.759998,65.16999799999999,93.452381,or-south-coast_2008,5766.0,5.720040798187256,5.8431739807128915,5168.1455078125,0.8302540183067322,189.26690673828125,91.02670288085938,-13.425600051879885,5.009900093078613,-5.726399898529053,35.60969924926758,1.8654999732971191
00f4bb85,2013,5337,0.07738400000000001,0.020049,0.008057,0.189432,0.696271,0.0059960000000000005,-1.709334,5.150618,26.0,24.0,11.0,10.0,53.0,68.0,0.0,19.32,22.459999,25.23,28.242001,31.41,90.256699,olympic-peninsula_2013,2981.5,2.490645408630371,2.985393524169922,2494.447998046875,0.8100495338439941,167.33819580078125,317.1801452636719,15.6468505859375,-8.476600646972656,8.330999374389647,21.771148681640625,1.7560499906539917
0101140d,2000,647,1.0,0.0,0.0,0.0,0.0,0.0,-1.#IND00,-1.#IND00,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kitsap_2000,0.0,0.0,1.0,0.0,,67.22170257568361,628.9573974609375,5.240900039672852,-1.419800043106079,0.2897999882698059,25.175800323486328,1.489799976348877
0101140d,2017,21553,0.038231,0.016703,0.0063560000000000005,0.096553,0.349742,0.488795,-0.905783,4.047193,13.5,11.0,11.0,9.0,17.0,39.0,0.59,23.07,29.690001,35.299999,42.200001,52.619999,94.506565,king-county_2016-2017,4964.0,6.857962131500244,4.423257827758789,3549.376953125,0.7213169932365417,13.30239963531494,603.7481689453125,-4.174799919128418,-0.5231999754905701,-4.690800189971924,32.15650177001953,1.189900040626526
01141105,2008,3554,0.197805,0.1435,0.059651,0.0,0.0,0.0,0.044523,1.8355,202.0,189.0,96.0,51.0,-9999.0,-9999.0,0.0,0.31,2.59,3.72,5.1035,6.99,65.869443,or-south-coast_2008,541.5,1.5304884910583496,1.7137190103530884,226.65545654296875,0.43201851844787603,253.6136932373047,205.5220947265625,2.1521999835968018,-0.11270000040531157,-0.05700000002980232,15.493499755859375,1.7518999576568604
012703c8,2008,7023,0.025061,0.010252,0.001139,0.041293,0.058949,0.860031,-1.723593,5.173018,43.0,42.5,22.0,12.0,16.0,40.0,13.599,48.48,55.650002,60.48,64.528999,69.190002,96.468746,or-south-coast_2008,6620.0,3.68953537940979,3.3300881385803223,5934.71875,0.8943580389022827,289.5557861328125,268.17791748046875,-7.389150142669678,3.846399784088135,-3.1862499713897705,32.10980224609375,1.4263499975204468
0143cd7b,2014,11135,0.350067,0.17692,0.097979,0.249933,0.000269,0.0,0.950199,2.384531,209.0,243.0,65.0,43.0,48.0,-9999.0,0.0,0.0,0.63,10.01,16.35,20.08,47.301302,colockum_2014,1572.5,4.847538948059082,3.2654225826263428,387.0034790039063,0.22292999923229215,146.97999572753906,919.9061889648438,0.4110000133514404,-0.0697999969124794,0.08380000293254852,18.41659927368164,1.830299973487854
0146811b,2010,4867,0.560715,0.204027,0.123485,0.013355,0.000411,0.0,2.207239,8.081569,135.0,101.0,53.0,67.0,74.0,-9999.0,0.0,0.0,0.08,0.86,7.777,21.02,23.525786,wenas_2009-2010,1676.5,3.481388568878174,2.621709108352661,203.327392578125,0.16563700139522552,339.0960998535156,806.0232543945312,2.7604000568389893,-1.9126498699188232,1.4351500272750854,17.223949432373047,1.450700044631958
014eda16,2008,9904,0.022112,0.017771000000000002,0.059774,0.073203,0.158724,0.6408520000000001,-0.767508,2.666729,42.0,61.5,28.0,52.0,41.0,61.0,3.44,24.0975,35.040001000000004,41.490002,48.988503,58.220001,96.011712,or-south-coast_2008,5344.5,8.580530166625978,7.051364421844482,3468.51220703125,0.7075694799423218,203.85189819335938,286.559814453125,-1.9651000499725344,0.9767000079154968,0.18410000205039975,34.909698486328125,1.874699950218201
01738928,2008,6302,0.030467,0.129483,0.197398,0.00365,0.0006349999999999999,0.0,1.214504,8.987092,118.0,102.0,81.0,60.0,35.0,-9999.0,0.4505,1.93,3.25,4.66,6.68,21.48,84.005078,or-south-coast_2008,827.0000610351562,1.405689001083374,2.1713979244232178,424.20880126953125,0.4046689867973328,131.33120727539062,449.7579956054688,-0.17880000174045566,0.03640000149607658,-0.8169000148773193,22.634599685668945,1.8551000356674197
017b4f42,2017,4495,0.288988,0.311902,0.011346,0.0,0.0,0.0,1.045081,3.346893,121.0,91.0,49.0,25.0,-9999.0,-9999.0,0.0,0.065,0.77,2.12,4.056,6.67,39.911012,southwest-state-lands_2017,453.5,1.2110069990158079,1.7679989337921145,141.42356872558594,0.2706419825553894,49.57835006713867,67.79409790039061,-0.1942499876022339,-0.03500000014901161,-0.2872999906539917,4.049650192260741,1.6612999439239502
01824617,2014,5464,0.080344,0.106698,0.124451,0.0,0.0,0.0,0.134657,2.465021,73.0,62.0,55.0,35.0,-9999.0,-9999.0,0.0,1.7,2.95,4.1725,5.94,8.46,81.295754,lane-county_2014,701.0,1.4651000499725342,2.151550054550171,337.7960205078125,0.5110430121421814,182.07269287109372,1024.5552978515623,-0.3169000148773193,0.3582000136375427,-0.2982999682426453,15.525349617004395,1.5113999843597412
01956562,2012,4160,0.15216300000000002,0.058413,0.004567,0.067308,0.373077,0.328846,-0.829815,2.189608,44.0,51.0,20.0,14.0,23.0,83.0,0.0,16.4,26.895,31.190001,35.9505,41.0,78.942308,hoh-river_2012,3793.5,4.1628079414367685,4.020976066589356,2867.53857421875,0.7853485345840454,106.81985473632812,262.7625732421875,-3.410749912261963,1.4320499897003174,-0.8312500715255737,30.634151458740234,1.6714500188827517
01956562,2013,18818,0.06945499999999999,0.043841000000000005,0.007333,0.052025,0.35211,0.469816,-1.406367,3.962685,44.0,51.0,37.5,24.0,32.0,80.0,0.0,23.3025,29.559999,33.220001,37.23,42.610001,88.670422,olympic-peninsula_2013,3961.500244140625,3.669612407684326,3.4231975078582764,2654.4833984375,0.6688530445098877,,263.502197265625,,,,,
01a041aa,2015,22206,0.099613,0.019409,0.321174,0.435198,0.027245,0.014771,1.471393,8.99582,2930.0,1764.0,4322.0,6465.0,6017.0,5041.5,0.0,6.07,9.66,13.22,19.27,51.299999,88.097811,upper-rogue_2015,2505.0,4.141122817993163,3.845510005950928,1338.544189453125,0.5016055107116699,198.0742034912109,1118.351318359375,-0.16099999845027926,-0.3792000114917755,-0.1152999997138977,14.62950038909912,1.8341000080108645
01aa0b83,2012,3752,0.055704,0.015725,0.026386,0.298774,0.42484,0.15351800000000002,-0.485296,3.114394,24.0,32.0,35.5,16.0,57.0,66.0,0.05,16.477498999999998,21.145,26.327499,34.572498,43.580002,92.857143,hoh-river_2012,3906.000244140625,7.664840221405028,4.637877941131592,2529.970947265625,0.6477140188217163,195.8447570800781,189.14544677734372,-5.755800247192383,3.9234998226165767,-1.1086500883102417,45.44124984741211,1.9720499515533447
01aed70d,2014,10333,0.053324,0.020033,0.07345399999999999,0.799284,0.032808,0.0,-1.3912790000000002,4.392565,11.0,10.0,8.0,45.0,66.0,-9999.0,0.08,12.19,15.19,17.209999,19.51,23.23,92.664279,willapa-delivery2_2014,2148.0,2.2358713150024414,2.453521013259888,1677.0819091796875,0.7808284759521484,232.8040008544922,461.4671936035156,-0.8344500064849854,-0.7451000213623047,1.4240000247955322,23.91024971008301,1.8034999370574951
01bd3f24,2015,4840,0.716116,0.039463,0.018595,0.13719,0.07438,0.0,1.570941,3.8531199999999997,202.0,203.0,85.0,57.5,89.5,-9999.0,0.0,0.0,0.0,0.7125,21.720999,27.74,24.442149,klickitat_2015,2637.0,6.544310092926025,4.137843132019043,421.9874572753906,0.15893998742103574,245.5287933349609,1008.2943725585938,0.04170000180602074,0.04280000180006027,0.08739999681711197,3.3257999420166016,1.7116999626159668
01c289ac,2002,307,1.0,0.0,0.0,0.0,0.0,0.0,-1.#IND00,-1.#IND00,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clallam-county_2001-2002,0.0,0.0,1.0,0.0,,182.42349243164062,131.07420349121094,4.98289966583252,-4.1484999656677255,0.9297499656677246,12.166950225830078,1.6779499053955078
01cf0642,2006,4743,0.164453,0.361585,0.117858,0.202825,0.021505,0.0,1.1924709999999998,3.278553,23.0,24.0,22.0,23.0,23.0,-9999.0,0.0,0.3,1.17,9.05,17.547998,26.719999,47.396163,ahtanum_2006,2045.0,5.909209251403809,3.458693504333496,512.7286376953125,0.2698234915733337,180.13125610351562,1280.8663330078125,-0.4885999858379364,-0.1773499846458435,-0.4867499768733978,24.169700622558594,1.924299955368042
