UUID,LIDAR_YEAR,LIDAR_ACQ,STRAT0_RETURN-PROPORTION,STRAT1_RETURN-PROPORTION,STRAT2_RETURN-PROPORTION,STRAT3_RETURN-PROPORTION,STRAT4_RETURN-PROPORTION,STRAT5_RETURN-PROPORTION,HEIGHT_05-PERCENTILE,HEIGHT_25-PERCENTILE,HEIGHT_50-PERCENTILE,HEIGHT_75-PERCENTILE,HEIGHT_95_PERCENTILE,LIDAR_COVER,POTENTIAL_VOLUME,STDDEV_HEIGHT,SURFACE_VOLUME,KURTOSIS,SKEWNESS,ASPECT,ELEVATION,SLOPE,YEAR,TPA,BA,SDI,CCF,QMD,TCUFT,TOPHT,NUMBER_OF_STRATA,TOTAL_COVER,STRUCTURE_CLASS,CANOPY_BASEHEIGHT,CANOPY_BULKDENSITY,ABOVEGROUND_BIOMASS,ABOVEGROUND_CARBON,ABOVEGROUND_LIVE_CARBON,GS_TPA,AF,AS,BM,BO,CH,CW,DF,DG,ES,GC,GF,IC,JP,KP,LO,LP,MA,MC,MH,NF,OH,OS,OT,PC,PL,PP,PY,RA,RC,RF,SF,SH,SP,SS,TO,WA,WB,WF,WH,WI,WJ,WL,WO,WP,YC,TRUE_FIR,OTHER_HARDWOOD,MAPLE,OAK,DOUGLAS_FIR,SPRUCE,CEDAR,PONDEROSA_PINE,OTHER_SOFTWOOD,LODGEPOLE_PINE,HEMLOCK,RED_ALDER,TANOAK,JUNIPER,LARCH,YEAR_DIFF,LAT,LON,ECOREGION3,AGENCY,DISTANCE_TO_WATER_M,PLOT_SIZE_AC,MEAS_YR,SAT_YEAR,LT_YSD_NBR,LT_YSD_SWIR1,WEIGHTS
00027724,2015,four-rivers_2014-2015,0.911437,0.015141,0.038568,0.01038,0.0,0.0,0.0,0.0,0.0,0.0,4.83,7.342158,94.0,0.0795459970831871,1.406838059425354,21.073104,4.257214,131.97630310058594,1328.897216796875,11.935199737548828,2015,8.0,9.0,15.0,8.0,14.520675089487886,220.0,60.0,0.0,5.0,0=BG,20.0,0.0054223,5.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.656847048865565,-118.2172059771764,blue_mountains,USFS,89.72353573,0.25,2015,2015.0,30.0,30.0,90
008dc9d1,2013,tulalip_2013,0.1,0.031409,0.00127,0.005889,0.270901,0.585797,0.0,28.209999,30.77,33.34,36.189999,86.859122,3718.5,2.5793581008911133,3173.70703125,4.74217,-1.80935,129.07749938964844,474.7408447265625,21.36554908752441,2014,260.0,291.0,462.0,286.0,14.31410013225792,12179.0,128.0,1.0,85.0,2=SE,47.0,0.128567,182.0,83.0,83.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,1.0,48.17872434539466,-121.98159777815351,north_cascades,WADNR,1237.148141,0.1,2014,2013.0,28.0,28.0,29
008dc9d1,2016,wa-western_2016,0.09486,0.039737,0.0016809999999999,0.0039229999999999,0.284375,0.570177,0.0,27.57,30.74,33.330002,36.189999,86.540323,3895.0,2.4444005489349365,3310.49169921875,4.559756,-1.753987,322.94561767578125,474.60650634765625,4.315299987792969,2016,259.0,294.0,467.0,289.0,14.417219489016968,12345.0,128.0,1.0,85.0,2=SE,47.0,0.130008,185.0,84.0,84.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,48.17872434539466,-121.98159777815351,north_cascades,WADNR,1237.148141,0.1,2014,2016.0,31.0,7.0,26
00f4bb85,2013,olympic-peninsula_2013,0.077384,0.020049,0.008057,0.189432,0.696271,0.005996,0.0,19.32,22.459999,25.23,28.242001,90.256699,2981.5,2.490645408630371,2494.447998046875,5.150618,-1.709334,167.33819580078125,317.1801452636719,21.771148681640625,2017,160.0,294.0,424.0,324.0,18.34947179883835,10060.0,102.0,1.0,74.0,2=SE,56.0,0.208734,170.0,77.0,77.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,4.0,47.67718551590525,-124.16241521361148,coast_range,WADNR,173.5708205,0.1,2017,2013.0,28.0,28.0,12
0101140d,2017,king-county_2016-2017,0.038231,0.016703,0.006356,0.096553,0.349742,0.488795,0.59,23.07,29.690001,35.299999,42.200001,94.506565,4964.0,6.857962131500244,3549.376953125,4.047193,-0.905783,13.30239963531494,603.7481689453125,32.15650177001953,2017,110.0,179.0,264.0,184.0,17.274287878285726,7056.0,116.0,1.0,63.0,1=SI,50.0,0.041848,101.0,46.0,46.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,61.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,47.51271179201878,-121.963137805032,cascades,WADNR,80.81165021,0.1,2014,2017.0,32.0,32.0,17
0143cd7b,2014,colockum_2014,0.350067,0.17692,0.097979,0.249933,0.000269,0.0,0.0,0.0,0.63,10.01,16.35,47.301302,1572.5,4.847538948059082,387.0034790039063,2.384531,0.950199,146.97999572753906,919.9061889648438,18.41659927368164,2014,30.0,45.0,67.0,36.0,16.54458626042384,1029.0,58.0,1.0,19.0,2=SE,12.0,0.0259953,20.0,9.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.16036157711057,-120.45911363319172,columbia_plateau,WADNR,28.14574712,0.1,2014,2014.0,29.0,19.0,1
017b4f42,2017,southwest-state-lands_2017,0.288988,0.311902,0.011346,0.0,0.0,0.0,0.0,0.065,0.77,2.12,4.056,39.911012,453.5,1.211006999015808,141.42356872558594,3.346893,1.045081,49.57835006713867,67.79409790039061,4.049650192260741,2017,79.0,7.0,19.0,15.0,4.088228633402474,68.0,23.0,1.0,14.0,1=SI,4.0,0.0148635,2.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,46.48688515833757,-123.86270523717734,coast_range,WADNR,177.79767080000002,0.1,2014,2017.0,32.0,9.0,35
01824617,2014,lane-county_2014,0.080344,0.106698,0.124451,0.0,0.0,0.0,0.0,1.7,2.95,4.1725,5.94,81.295754,701.0,1.4651000499725342,337.7960205078125,2.465021,0.134657,182.0726928710937,1024.5552978515625,15.525349617004396,2017,152.0,32.0,71.0,57.0,6.238209904094678,437.0,36.0,1.0,40.0,1=SI,4.0,0.0493364,10.0,5.0,5.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,43.80589093970245,-122.71313548494172,cascades,BLM,350.2117667,0.125,2017,2014.0,29.0,16.0,33
01956562,2012,hoh-river_2012,0.152163,0.058413,0.004567,0.067308,0.373077,0.328846,0.0,16.4,26.895,31.190001,35.9505,78.942308,3793.5,4.1628079414367685,2867.53857421875,2.189608,-0.829815,106.81985473632812,262.7625732421875,30.634151458740234,2013,150.0,198.0,305.0,228.0,15.57341753803528,8662.0,134.0,1.0,69.0,2=SE,40.0,0.0809362,140.0,63.0,63.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,135.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,47.779254828660186,-124.1261808800776,coast_range,WADNR,422.7778247,0.1,2013,2012.0,17.0,27.0,14
01956562,2013,olympic-peninsula_2013,0.0694549999999999,0.043841,0.007333,0.052025,0.35211,0.469816,0.0,23.3025,29.559999,33.220001,37.23,88.670422,3961.500244140625,3.669612407684326,2654.4833984375,3.962685,-1.406367,182.16627734653073,263.502197265625,21.498568408984355,2013,150.0,198.0,305.0,228.0,15.57341753803528,8662.0,134.0,1.0,69.0,2=SE,40.0,0.0809362,140.0,63.0,63.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,135.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,47.779254828660186,-124.1261808800776,coast_range,WADNR,422.7778247,0.1,2013,2013.0,18.0,28.0,18
