CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,TOTAL_COVER,rmse,8.120704243876146,ElasticNet
1,Blue Mountains,TOTAL_COVER,nrmse,0.3320219793066908,ElasticNet
1,Blue Mountains,TOTAL_COVER,mae,6.9183968670160105,ElasticNet
1,Blue Mountains,TOTAL_COVER,mape,0.2828646078507398,ElasticNet
1,Blue Mountains,TOTAL_COVER,bias,-2.7488178984937717,ElasticNet
1,Blue Mountains,TOTAL_COVER,rel_bias,0.11238778460621895,ElasticNet
1,Blue Mountains,TOPHT,rmse,12.224519143170214,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.23717741264032752,ElasticNet
1,Blue Mountains,TOPHT,mae,9.893797790274876,ElasticNet
1,Blue Mountains,TOPHT,mape,0.19195727321471062,ElasticNet
1,Blue Mountains,TOPHT,bias,-1.781801111101402,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,0.0345701104821614,ElasticNet
1,Blue Mountains,BA,rmse,13.85959392334276,ElasticNet
1,Blue Mountains,BA,nrmse,0.2855195314680054,ElasticNet
1,Blue Mountains,BA,mae,11.093981015909609,ElasticNet
1,Blue Mountains,BA,mape,0.22854553165822372,ElasticNet
1,Blue Mountains,BA,bias,-5.647418445884409,ElasticNet
1,Blue Mountains,BA,rel_bias,0.11634166755470028,ElasticNet
1,Blue Mountains,QMD,rmse,2.6167394764224916,ElasticNet
1,Blue Mountains,QMD,nrmse,0.218927533228454,ElasticNet
1,Blue Mountains,QMD,mae,1.8555378019943118,ElasticNet
1,Blue Mountains,QMD,mape,0.155242169678329,ElasticNet
1,Blue Mountains,QMD,bias,-0.7942408872166304,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.06644956435068558,ElasticNet
1,Blue Mountains,GS_TPA,rmse,23.926088368847136,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.34759450414790033,ElasticNet
1,Blue Mountains,GS_TPA,mae,18.79631186254985,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.2730699059934603,ElasticNet
1,Blue Mountains,GS_TPA,bias,-3.833208181397996,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,0.05568825445130261,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,3.0830641589776717,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.2879126062858526,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,2.4552810543266705,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.22928694670754898,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-1.4704476554074823,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,0.13731806898746915,ElasticNet
1,Cascades,TOTAL_COVER,rmse,15.470334041133892,ElasticNet
1,Cascades,TOTAL_COVER,nrmse,0.23685904693179438,ElasticNet
1,Cascades,TOTAL_COVER,mae,12.235644317218284,ElasticNet
1,Cascades,TOTAL_COVER,mape,0.18733422587172086,ElasticNet
1,Cascades,TOTAL_COVER,bias,-0.8598348805279112,ElasticNet
1,Cascades,TOTAL_COVER,rel_bias,0.01316452959445129,ElasticNet
1,Cascades,TOPHT,rmse,15.385359840154008,ElasticNet
1,Cascades,TOPHT,nrmse,0.15194206914456013,ElasticNet
1,Cascades,TOPHT,mae,11.964011255453421,ElasticNet
1,Cascades,TOPHT,mape,0.11815366324277032,ElasticNet
1,Cascades,TOPHT,bias,0.09016444217793487,ElasticNet
1,Cascades,TOPHT,rel_bias,-0.000890442085860459,ElasticNet
1,Cascades,BA,rmse,51.07401492036809,ElasticNet
1,Cascades,BA,nrmse,0.23319750534375297,ElasticNet
1,Cascades,BA,mae,36.231893273438864,ElasticNet
1,Cascades,BA,mape,0.16543025134054123,ElasticNet
1,Cascades,BA,bias,-7.626060673558974,ElasticNet
1,Cascades,BA,rel_bias,0.03481963044117066,ElasticNet
1,Cascades,QMD,rmse,3.998731528969818,ElasticNet
1,Cascades,QMD,nrmse,0.3112858810732233,ElasticNet
1,Cascades,QMD,mae,3.1971701696183783,ElasticNet
1,Cascades,QMD,mape,0.24888740991498445,ElasticNet
1,Cascades,QMD,bias,1.1889339582512675,ElasticNet
1,Cascades,QMD,rel_bias,-0.09255393918067514,ElasticNet
1,Cascades,GS_TPA,rmse,59.38915281219325,ElasticNet
1,Cascades,GS_TPA,nrmse,0.30843755020572805,ElasticNet
1,Cascades,GS_TPA,mae,38.864282976964034,ElasticNet
1,Cascades,GS_TPA,mape,0.20184164387433154,ElasticNet
1,Cascades,GS_TPA,bias,-12.906908014554928,ElasticNet
1,Cascades,GS_TPA,rel_bias,0.067032023530106,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,rmse,15.223672246207455,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,nrmse,0.23859142549667903,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,mae,10.12783585203886,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,mape,0.15872745774176172,ElasticNet
