CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,LIDAR_COVER,rmse,0.9069611503396723,ElasticNet
1,Blue Mountains,LIDAR_COVER,nrmse,0.029285733679303684,ElasticNet
1,Blue Mountains,LIDAR_COVER,mae,0.7891280608951486,ElasticNet
1,Blue Mountains,LIDAR_COVER,mape,0.02548090866029433,ElasticNet
1,Blue Mountains,LIDAR_COVER,bias,0.44057446365894964,ElasticNet
1,Blue Mountains,LIDAR_COVER,rel_bias,-0.014226129094709114,ElasticNet
1,Blue Mountains,TOPHT,rmse,14.552499641809325,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.2823443746187743,ElasticNet
1,Blue Mountains,TOPHT,mae,11.78188608807317,ElasticNet
1,Blue Mountains,TOPHT,mape,0.2285895441501666,ElasticNet
1,Blue Mountains,TOPHT,bias,0.4659529588305835,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,-0.009040316096955542,ElasticNet
1,Blue Mountains,BA,rmse,16.916844579152396,ElasticNet
1,Blue Mountains,BA,nrmse,0.3485015192271739,ElasticNet
1,Blue Mountains,BA,mae,13.798742447315876,ElasticNet
1,Blue Mountains,BA,mape,0.28426593882882495,ElasticNet
1,Blue Mountains,BA,bias,-7.9550660635972505,ElasticNet
1,Blue Mountains,BA,rel_bias,0.1638811892929906,ElasticNet
1,Blue Mountains,QMD,rmse,3.4225666001342083,ElasticNet
1,Blue Mountains,QMD,nrmse,0.2863464513104245,ElasticNet
1,Blue Mountains,QMD,mae,2.561208884274889,ElasticNet
1,Blue Mountains,QMD,mape,0.21428160814988606,ElasticNet
1,Blue Mountains,QMD,bias,-2.0132523315016084,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.16843723674955463,ElasticNet
1,Blue Mountains,GS_TPA,rmse,27.52442895519758,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.399870638574299,ElasticNet
1,Blue Mountains,GS_TPA,mae,23.19810336780431,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.3370184508639852,ElasticNet
1,Blue Mountains,GS_TPA,bias,3.905705827292145,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,-0.05674148901635078,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,7.177276016681004,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.6702514568106774,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,4.878941539556716,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.4556209998029618,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-3.0907624922230177,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,0.28863151678347243,ElasticNet
1,Cascades,LIDAR_COVER,rmse,1.2584423482761746,ElasticNet
1,Cascades,LIDAR_COVER,nrmse,0.01558339534259188,ElasticNet
1,Cascades,LIDAR_COVER,mae,0.8904286667790707,ElasticNet
1,Cascades,LIDAR_COVER,mape,0.011026251586179215,ElasticNet
1,Cascades,LIDAR_COVER,bias,-0.43597823635513583,ElasticNet
