CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,TOTAL_COVER,rmse,8.272858633896476,ElasticNet
1,Blue Mountains,TOTAL_COVER,nrmse,0.3382429424421047,ElasticNet
1,Blue Mountains,TOTAL_COVER,mae,7.097147465495656,ElasticNet
1,Blue Mountains,TOTAL_COVER,mape,0.2901729798499076,ElasticNet
1,Blue Mountains,TOTAL_COVER,bias,-3.6689812117763245,ElasticNet
1,Blue Mountains,TOTAL_COVER,rel_bias,0.15000945329238807,ElasticNet
1,Blue Mountains,TOPHT,rmse,14.605711625323892,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.283376781736276,ElasticNet
1,Blue Mountains,TOPHT,mae,11.836155464122607,ElasticNet
1,Blue Mountains,TOPHT,mape,0.22964246656341356,ElasticNet
1,Blue Mountains,TOPHT,bias,0.321027511364177,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,-0.006228504666726151,ElasticNet
1,Blue Mountains,BA,rmse,16.67084236660365,ElasticNet
1,Blue Mountains,BA,nrmse,0.34343366248797225,ElasticNet
1,Blue Mountains,BA,mae,13.638197076522864,ElasticNet
1,Blue Mountains,BA,mape,0.28095856638330363,ElasticNet
1,Blue Mountains,BA,bias,-7.583902802817477,ElasticNet
1,Blue Mountains,BA,rel_bias,0.15623490752585362,ElasticNet
1,Blue Mountains,QMD,rmse,3.282404099645455,ElasticNet
1,Blue Mountains,QMD,nrmse,0.2746198614990893,ElasticNet
1,Blue Mountains,QMD,mae,2.4762322006679005,ElasticNet
1,Blue Mountains,QMD,mape,0.2071720980547324,ElasticNet
1,Blue Mountains,QMD,bias,-1.8135115808230609,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.1517260776046487,ElasticNet
1,Blue Mountains,GS_TPA,rmse,27.31960833867794,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.39689503639725826,ElasticNet
1,Blue Mountains,GS_TPA,mae,22.9869869248967,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.3339513838968044,ElasticNet
1,Blue Mountains,GS_TPA,bias,3.3644843455234583,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,-0.04887870719888802,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,7.207743097013577,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.673096631627727,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,4.9141965752429995,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.45891329885537735,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-3.1507813365979995,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,0.2942363894099299,ElasticNet
1,Cascades,TOTAL_COVER,rmse,15.574608983596512,ElasticNet
1,Cascades,TOTAL_COVER,nrmse,0.23845555179231603,ElasticNet
1,Cascades,TOTAL_COVER,mae,12.290051604517082,ElasticNet
1,Cascades,TOTAL_COVER,mape,0.18816723039389038,ElasticNet
1,Cascades,TOTAL_COVER,bias,-2.8445532272542837,ElasticNet
1,Cascades,TOTAL_COVER,rel_bias,0.043551623679408714,ElasticNet
1,Cascades,TOPHT,rmse,15.339552579198303,ElasticNet
1,Cascades,TOPHT,nrmse,0.15148968778437316,ElasticNet
1,Cascades,TOPHT,mae,11.531935202557843,ElasticNet
1,Cascades,TOPHT,mape,0.11388658530719756,ElasticNet
1,Cascades,TOPHT,bias,-2.3204870669125213,ElasticNet
1,Cascades,TOPHT,rel_bias,0.022916565490375327,ElasticNet
1,Cascades,BA,rmse,67.36757815816298,ElasticNet
1,Cascades,BA,nrmse,0.3075918584436339,ElasticNet
1,Cascades,BA,mae,48.08839007625029,ElasticNet
