CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,LIDAR_COVER,rmse,9.525555541431979,ElasticNet
1,Blue Mountains,LIDAR_COVER,nrmse,0.26555951460072985,ElasticNet
1,Blue Mountains,LIDAR_COVER,mae,7.274531289415984,ElasticNet
1,Blue Mountains,LIDAR_COVER,mape,0.20280402437029088,ElasticNet
1,Blue Mountains,LIDAR_COVER,bias,0.6233517943761514,ElasticNet
1,Blue Mountains,LIDAR_COVER,rel_bias,-0.01737819901632105,ElasticNet
1,Blue Mountains,TOPHT,rmse,24.54397976336354,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.38377224932053866,ElasticNet
1,Blue Mountains,TOPHT,mae,17.770548089597007,ElasticNet
1,Blue Mountains,TOPHT,mape,0.27786215918346424,ElasticNet
1,Blue Mountains,TOPHT,bias,-5.610285171175712,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,0.08772300907310993,ElasticNet
1,Blue Mountains,BA,rmse,43.78217534083707,ElasticNet
1,Blue Mountains,BA,nrmse,0.5965982393920195,ElasticNet
1,Blue Mountains,BA,mae,33.21081607764388,ElasticNet
1,Blue Mountains,BA,mape,0.45254750926489024,ElasticNet
1,Blue Mountains,BA,bias,-11.400845788269914,ElasticNet
1,Blue Mountains,BA,rel_bias,0.15535373635301214,ElasticNet
1,Blue Mountains,QMD,rmse,5.422362153366465,ElasticNet
1,Blue Mountains,QMD,nrmse,0.3944447243157977,ElasticNet
1,Blue Mountains,QMD,mae,4.36905867447861,ElasticNet
1,Blue Mountains,QMD,mape,0.31782313604861656,ElasticNet
1,Blue Mountains,QMD,bias,-1.880319142330847,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.13678207850096033,ElasticNet
1,Blue Mountains,GS_TPA,rmse,56.246086251652876,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.7311160399033165,ElasticNet
1,Blue Mountains,GS_TPA,mae,45.911982543755045,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.5967879562556047,ElasticNet
1,Blue Mountains,GS_TPA,bias,8.534957744996438,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,-0.11094184365726537,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,14.164492996397692,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.80210771150772,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,11.121020240691747,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.6297617639516562,ElasticNet
