CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,TOTAL_COVER,rmse,10.969690172235603,ElasticNet
1,Blue Mountains,TOTAL_COVER,nrmse,0.3108183534777689,ElasticNet
1,Blue Mountains,TOTAL_COVER,mae,9.392243817707554,ElasticNet
1,Blue Mountains,TOTAL_COVER,mape,0.26612253518976753,ElasticNet
1,Blue Mountains,TOTAL_COVER,bias,2.823774070285079,ElasticNet
1,Blue Mountains,TOTAL_COVER,rel_bias,-0.08000962591820916,ElasticNet
1,Blue Mountains,TOPHT,rmse,16.289728642333532,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.23048208312005425,ElasticNet
1,Blue Mountains,TOPHT,mae,13.64439122956352,ElasticNet
1,Blue Mountains,TOPHT,mape,0.19305341313802893,ElasticNet
1,Blue Mountains,TOPHT,bias,5.022553045359252,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,-0.07106370608697526,ElasticNet
1,Blue Mountains,BA,rmse,34.4270820337294,ElasticNet
1,Blue Mountains,BA,nrmse,0.37585808572333596,ElasticNet
1,Blue Mountains,BA,mae,27.33325238108671,ElasticNet
1,Blue Mountains,BA,mape,0.29841111443841906,ElasticNet
1,Blue Mountains,BA,bias,5.883341432631125,ElasticNet
1,Blue Mountains,BA,rel_bias,-0.06423145145902971,ElasticNet
1,Blue Mountains,QMD,rmse,3.650872369052323,ElasticNet
1,Blue Mountains,QMD,nrmse,0.2579659998335663,ElasticNet
1,Blue Mountains,QMD,mae,2.982219760106585,ElasticNet
1,Blue Mountains,QMD,mape,0.21071985661854506,ElasticNet
1,Blue Mountains,QMD,bias,0.3582997809848881,ElasticNet
1,Blue Mountains,QMD,rel_bias,-0.025317006977679374,ElasticNet
1,Blue Mountains,GS_TPA,rmse,46.49625495819507,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.48844750009139554,ElasticNet
1,Blue Mountains,GS_TPA,mae,30.38831979821597,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.3192321370992552,ElasticNet
1,Blue Mountains,GS_TPA,bias,6.84202436965166,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,-0.07187610490190093,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,9.371658141790059,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.3993948153410314,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,7.284252305714998,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.31043520373042827,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,1.1803897358586688,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,-0.05030502963840216,ElasticNet
1,Cascades,TOTAL_COVER,rmse,22.74947401990717,ElasticNet
1,Cascades,TOTAL_COVER,nrmse,0.3533358321913383,ElasticNet
1,Cascades,TOTAL_COVER,mae,18.443634122354407,ElasticNet
1,Cascades,TOTAL_COVER,mape,0.28645923002668394,ElasticNet
1,Cascades,TOTAL_COVER,bias,6.8672798327719,ElasticNet
1,Cascades,TOTAL_COVER,rel_bias,-0.10665987409115296,ElasticNet
1,Cascades,TOPHT,rmse,33.18747854131303,ElasticNet
1,Cascades,TOPHT,nrmse,0.3432756995559585,ElasticNet
1,Cascades,TOPHT,mae,23.652895591146113,ElasticNet
1,Cascades,TOPHT,mape,0.24465444913108755,ElasticNet
1,Cascades,TOPHT,bias,10.670298030890834,ElasticNet
1,Cascades,TOPHT,rel_bias,-0.11036855410587937,ElasticNet
1,Cascades,BA,rmse,86.91250759715467,ElasticNet
1,Cascades,BA,nrmse,0.43494476217071126,ElasticNet
1,Cascades,BA,mae,68.09598282054736,ElasticNet
1,Cascades,BA,mape,0.34077938689728293,ElasticNet
1,Cascades,BA,bias,24.526107008481997,ElasticNet
1,Cascades,BA,rel_bias,-0.12273839605712686,ElasticNet
1,Cascades,QMD,rmse,5.043149114216354,ElasticNet
1,Cascades,QMD,nrmse,0.3771400893272953,ElasticNet
1,Cascades,QMD,mae,3.8071319318860857,ElasticNet
1,Cascades,QMD,mape,0.284707440599925,ElasticNet
1,Cascades,QMD,bias,0.7942293326137903,ElasticNet
1,Cascades,QMD,rel_bias,-0.05939457958995276,ElasticNet
1,Cascades,GS_TPA,rmse,89.91248669122902,ElasticNet
1,Cascades,GS_TPA,nrmse,0.5015911114735365,ElasticNet
1,Cascades,GS_TPA,mae,75.36128371415423,ElasticNet
1,Cascades,GS_TPA,mape,0.42041491066827086,ElasticNet
1,Cascades,GS_TPA,bias,30.70387665868805,ElasticNet
1,Cascades,GS_TPA,rel_bias,-0.17128646071892106,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,rmse,27.896489617590742,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,nrmse,0.49284445493896595,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,mae,21.260749683209525,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,mape,0.3756115100090553,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,bias,6.003459490815491,ElasticNet
1,Cascades,ABOVEGROUND_LIVE_CARBON,rel_bias,-0.10606251041110938,ElasticNet
1,Coast Range,TOTAL_COVER,rmse,19.337337461267992,ElasticNet
1,Coast Range,TOTAL_COVER,nrmse,0.26724059550080725,ElasticNet
1,Coast Range,TOTAL_COVER,mae,16.184401991833735,ElasticNet
1,Coast Range,TOTAL_COVER,mape,0.22366725692123748,ElasticNet
1,Coast Range,TOTAL_COVER,bias,-8.907154868809062,ElasticNet
1,Coast Range,TOTAL_COVER,rel_bias,0.12309623163613981,ElasticNet
1,Coast Range,TOPHT,rmse,26.54307807946643,ElasticNet
1,Coast Range,TOPHT,nrmse,0.2509356175758139,ElasticNet
1,Coast Range,TOPHT,mae,20.64256364484958,ElasticNet
1,Coast Range,TOPHT,mape,0.1951527415569619,ElasticNet
1,Coast Range,TOPHT,bias,-3.28038147240364,ElasticNet
1,Coast Range,TOPHT,rel_bias,0.03101239985044012,ElasticNet
1,Coast Range,BA,rmse,94.52844798326439,ElasticNet
1,Coast Range,BA,nrmse,0.4052328476538955,ElasticNet
1,Coast Range,BA,mae,72.11754781534982,ElasticNet
1,Coast Range,BA,mape,0.30915983379103146,ElasticNet
1,Coast Range,BA,bias,-16.996057587119626,ElasticNet
1,Coast Range,BA,rel_bias,0.07286019142234772,ElasticNet
1,Coast Range,QMD,rmse,5.425406667718581,ElasticNet
1,Coast Range,QMD,nrmse,0.3621455336994915,ElasticNet
1,Coast Range,QMD,mae,3.702413341474951,ElasticNet
1,Coast Range,QMD,mape,0.2471358439363559,ElasticNet
1,Coast Range,QMD,bias,-0.06889617943772544,ElasticNet
1,Coast Range,QMD,rel_bias,0.004598815388491945,ElasticNet
1,Coast Range,GS_TPA,rmse,105.07900786378607,ElasticNet
1,Coast Range,GS_TPA,nrmse,0.5837399006459703,ElasticNet
1,Coast Range,GS_TPA,mae,78.7116002784157,ElasticNet
1,Coast Range,GS_TPA,mape,0.4372624243442509,ElasticNet
1,Coast Range,GS_TPA,bias,-25.95012728375849,ElasticNet
1,Coast Range,GS_TPA,rel_bias,0.1441593809298997,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,rmse,32.80705786435466,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,nrmse,0.48083363046080463,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,mae,24.344685759238466,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,mape,0.3568056509194181,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,bias,-3.4442353485536543,ElasticNet
1,Coast Range,ABOVEGROUND_LIVE_CARBON,rel_bias,0.0504801190540731,ElasticNet
1,Eastern Cascades,TOTAL_COVER,rmse,14.888458908610808,ElasticNet
