CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,TOTAL_COVER,rmse,11.406375393877648,ElasticNet
1,Blue Mountains,TOTAL_COVER,nrmse,0.3231915180291606,ElasticNet
1,Blue Mountains,TOTAL_COVER,mae,8.967964791073435,ElasticNet
1,Blue Mountains,TOTAL_COVER,mape,0.2541008913326474,ElasticNet
1,Blue Mountains,TOTAL_COVER,bias,0.05689906422863775,ElasticNet
1,Blue Mountains,TOTAL_COVER,rel_bias,-0.0016121944357856716,ElasticNet
1,Blue Mountains,TOPHT,rmse,17.584510727807775,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.24880185251578812,ElasticNet
1,Blue Mountains,TOPHT,mae,14.108199816832704,ElasticNet
1,Blue Mountains,TOPHT,mape,0.19961580418271224,ElasticNet
1,Blue Mountains,TOPHT,bias,0.5669587588978267,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,-0.008021854670699562,ElasticNet
1,Blue Mountains,BA,rmse,41.28055454326748,ElasticNet
1,Blue Mountains,BA,nrmse,0.4506809549827393,ElasticNet
1,Blue Mountains,BA,mae,33.29589646751675,ElasticNet
1,Blue Mountains,BA,mape,0.3635083535822847,ElasticNet
1,Blue Mountains,BA,bias,0.1921227479245405,ElasticNet
1,Blue Mountains,BA,rel_bias,-0.0020975024310244277,ElasticNet
1,Blue Mountains,QMD,rmse,4.8105533521515,ElasticNet
1,Blue Mountains,QMD,nrmse,0.339907583666804,ElasticNet
1,Blue Mountains,QMD,mae,3.728309695823639,ElasticNet
1,Blue Mountains,QMD,mape,0.26343762288846545,ElasticNet
1,Blue Mountains,QMD,bias,-1.563734812354753,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.11049151368946876,ElasticNet
1,Blue Mountains,GS_TPA,rmse,81.95600556443428,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.8609554913920833,ElasticNet
1,Blue Mountains,GS_TPA,mae,56.33973442826923,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.5918541710949335,ElasticNet
1,Blue Mountains,GS_TPA,bias,13.223217155380029,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,-0.13891113098287594,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,17.904167937429317,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.7630273894987096,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,12.913402286573767,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.5503344065306943,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-1.1479034110856092,ElasticNet
