CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,LIDAR_COVER,rmse,3.8151363637442857,ElasticNet
1,Blue Mountains,LIDAR_COVER,nrmse,0.10964620772134372,ElasticNet
1,Blue Mountains,LIDAR_COVER,mae,2.807990913296497,ElasticNet
1,Blue Mountains,LIDAR_COVER,mape,0.08070106166710789,ElasticNet
1,Blue Mountains,LIDAR_COVER,bias,-0.7374314075956334,ElasticNet
1,Blue Mountains,LIDAR_COVER,rel_bias,0.021193621823288836,ElasticNet
1,Blue Mountains,TOPHT,rmse,15.844665277796887,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.28409342796375836,ElasticNet
1,Blue Mountains,TOPHT,mae,12.841589766281656,ElasticNet
1,Blue Mountains,TOPHT,mape,0.23024855326666374,ElasticNet
1,Blue Mountains,TOPHT,bias,3.335091530742945,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,-0.05979789215676022,ElasticNet
1,Blue Mountains,BA,rmse,20.822926929736184,ElasticNet
1,Blue Mountains,BA,nrmse,0.3553951842158231,ElasticNet
1,Blue Mountains,BA,mae,17.042101218081367,ElasticNet
1,Blue Mountains,BA,mape,0.29086596338075255,ElasticNet
1,Blue Mountains,BA,bias,7.733083439139827,ElasticNet
1,Blue Mountains,BA,rel_bias,-0.13198435660285196,ElasticNet
1,Blue Mountains,QMD,rmse,3.067003164237476,ElasticNet
1,Blue Mountains,QMD,nrmse,0.2428904518244374,ElasticNet
1,Blue Mountains,QMD,mae,2.4637542987224927,ElasticNet
1,Blue Mountains,QMD,mape,0.19511632781438196,ElasticNet
1,Blue Mountains,QMD,bias,-0.034737505778271546,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.002751026986904366,ElasticNet
1,Blue Mountains,GS_TPA,rmse,79.903192069167,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.9987899008645875,ElasticNet
1,Blue Mountains,GS_TPA,mae,37.7777214719176,ElasticNet
1,Blue Mountains,GS_TPA,mape,0.47222151839897003,ElasticNet
1,Blue Mountains,GS_TPA,bias,-1.5628175489716363,ElasticNet
1,Blue Mountains,GS_TPA,rel_bias,0.019535219362145452,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,5.674606744512111,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.5180138936899022,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,4.382854296935156,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.4000945831227113,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,4.159508887871462,ElasticNet
1,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,-0.3797062055318347,ElasticNet
2,Blue Mountains,LIDAR_COVER,rmse,1.8174877107373588,ElasticNet
2,Blue Mountains,LIDAR_COVER,nrmse,0.05566515240310181,ElasticNet
2,Blue Mountains,LIDAR_COVER,mae,1.3676947926623249,ElasticNet
2,Blue Mountains,LIDAR_COVER,mape,0.04188910803891474,ElasticNet
2,Blue Mountains,LIDAR_COVER,bias,0.18558709602594467,ElasticNet
2,Blue Mountains,LIDAR_COVER,rel_bias,-0.005684073638188232,ElasticNet
2,Blue Mountains,TOPHT,rmse,14.7440248700105,ElasticNet
2,Blue Mountains,TOPHT,nrmse,0.25520735416225887,ElasticNet
2,Blue Mountains,TOPHT,mae,11.630038452808959,ElasticNet
2,Blue Mountains,TOPHT,mape,0.2013067238094391,ElasticNet
2,Blue Mountains,TOPHT,bias,0.6924654555578539,ElasticNet
2,Blue Mountains,TOPHT,rel_bias,-0.011986026768113915,ElasticNet
2,Blue Mountains,BA,rmse,14.028370632788493,ElasticNet
2,Blue Mountains,BA,nrmse,0.22793512106451022,ElasticNet
2,Blue Mountains,BA,mae,10.649717266362039,ElasticNet
