CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,total_cover,rmse,8.71399843563498,ElasticNet
1,Blue Mountains,total_cover,nrmse,0.2517688151547827,ElasticNet
1,Blue Mountains,total_cover,mae,7.248796344703051,ElasticNet
1,Blue Mountains,total_cover,mape,0.20943552841838667,ElasticNet
1,Blue Mountains,total_cover,bias,1.2917197302629015,ElasticNet
1,Blue Mountains,total_cover,rel_bias,-0.037320955288494745,ElasticNet
1,Blue Mountains,topht,rmse,15.278217528851767,ElasticNet
1,Blue Mountains,topht,nrmse,0.23484877499515952,ElasticNet
1,Blue Mountains,topht,mae,11.402739844377228,ElasticNet
1,Blue Mountains,topht,mape,0.17527695747121272,ElasticNet
1,Blue Mountains,topht,bias,2.328202405214036,ElasticNet
1,Blue Mountains,topht,rel_bias,-0.03578791058399031,ElasticNet
1,Blue Mountains,qmd,rmse,3.1419079372420637,ElasticNet
1,Blue Mountains,qmd,nrmse,0.24868428534432196,ElasticNet
1,Blue Mountains,qmd,mae,2.709794721274717,ElasticNet
1,Blue Mountains,qmd,mape,0.21448221181221094,ElasticNet
1,Blue Mountains,qmd,bias,0.9766063591431341,ElasticNet
1,Blue Mountains,qmd,rel_bias,-0.07729909957177693,ElasticNet
1,Blue Mountains,tcuft,rmse,992.8501407620975,ElasticNet
1,Blue Mountains,tcuft,nrmse,0.48977232957104205,ElasticNet
1,Blue Mountains,tcuft,mae,768.7834335675803,ElasticNet
1,Blue Mountains,tcuft,mape,0.3792403684457356,ElasticNet
1,Blue Mountains,tcuft,bias,503.7125978373497,ElasticNet
1,Blue Mountains,tcuft,rel_bias,-0.2484810973463864,ElasticNet
2,Blue Mountains,total_cover,rmse,8.593630428343122,ElasticNet
2,Blue Mountains,total_cover,nrmse,0.24226366125321253,ElasticNet
2,Blue Mountains,total_cover,mae,6.238209450200094,ElasticNet
2,Blue Mountains,total_cover,mape,0.17586181692028457,ElasticNet
2,Blue Mountains,total_cover,bias,-4.319539892102731,ElasticNet
2,Blue Mountains,total_cover,rel_bias,0.1217724636771326,ElasticNet
2,Blue Mountains,topht,rmse,16.51543314007936,ElasticNet
2,Blue Mountains,topht,nrmse,0.26214973238221206,ElasticNet
2,Blue Mountains,topht,mae,13.931803920166653,ElasticNet
2,Blue Mountains,topht,mape,0.22113974476455003,ElasticNet
2,Blue Mountains,topht,bias,-5.96712279855773,ElasticNet
2,Blue Mountains,topht,rel_bias,0.09471623489774175,ElasticNet
2,Blue Mountains,qmd,rmse,3.448274430877184,ElasticNet
2,Blue Mountains,qmd,nrmse,0.24288693460024555,ElasticNet
2,Blue Mountains,qmd,mae,2.8103101827127155,ElasticNet
2,Blue Mountains,qmd,mape,0.19795049356941943,ElasticNet
2,Blue Mountains,qmd,bias,-1.290927672299159,ElasticNet
2,Blue Mountains,qmd,rel_bias,0.09092938262329986,ElasticNet
2,Blue Mountains,tcuft,rmse,1564.524377991794,ElasticNet
2,Blue Mountains,tcuft,nrmse,0.6415271667828986,ElasticNet
2,Blue Mountains,tcuft,mae,1204.2453423169281,ElasticNet
2,Blue Mountains,tcuft,mape,0.4937961424159623,ElasticNet
2,Blue Mountains,tcuft,bias,-762.641213991403,ElasticNet
2,Blue Mountains,tcuft,rel_bias,0.31271807852030875,ElasticNet
3,Blue Mountains,total_cover,rmse,11.223867383491045,ElasticNet
3,Blue Mountains,total_cover,nrmse,0.377833159444253,ElasticNet
3,Blue Mountains,total_cover,mae,9.065148257020697,ElasticNet
3,Blue Mountains,total_cover,mape,0.30516340667198383,ElasticNet
3,Blue Mountains,total_cover,bias,3.707460337055186,ElasticNet
3,Blue Mountains,total_cover,rel_bias,-0.12480559550482805,ElasticNet
3,Blue Mountains,topht,rmse,11.864786078517257,ElasticNet
3,Blue Mountains,topht,nrmse,0.2138932803126123,ElasticNet
3,Blue Mountains,topht,mae,10.540040140639407,ElasticNet
3,Blue Mountains,topht,mape,0.19001132809212082,ElasticNet
3,Blue Mountains,topht,bias,5.769246237212293,ElasticNet
3,Blue Mountains,topht,rel_bias,-0.10400549950435736,ElasticNet
3,Blue Mountains,qmd,rmse,3.972213651002059,ElasticNet
3,Blue Mountains,qmd,nrmse,0.31149754487121173,ElasticNet
3,Blue Mountains,qmd,mae,3.1049568843545337,ElasticNet
3,Blue Mountains,qmd,mape,0.24348802239361286,ElasticNet
3,Blue Mountains,qmd,bias,0.5271004019300074,ElasticNet
3,Blue Mountains,qmd,rel_bias,-0.041334755762799,ElasticNet
3,Blue Mountains,tcuft,rmse,1037.6107537848216,ElasticNet
3,Blue Mountains,tcuft,nrmse,0.6250667191474829,ElasticNet
3,Blue Mountains,tcuft,mae,915.921349717165,ElasticNet
3,Blue Mountains,tcuft,mape,0.5517598492272078,ElasticNet
3,Blue Mountains,tcuft,bias,349.1160042784956,ElasticNet
3,Blue Mountains,tcuft,rel_bias,-0.21031084595090097,ElasticNet
4,Blue Mountains,total_cover,rmse,12.237733792696602,ElasticNet
4,Blue Mountains,total_cover,nrmse,0.3630741264848905,ElasticNet
4,Blue Mountains,total_cover,mae,10.049031774005304,ElasticNet
4,Blue Mountains,total_cover,mape,0.2981388135394244,ElasticNet
4,Blue Mountains,total_cover,bias,-1.0607903417151139,ElasticNet
4,Blue Mountains,total_cover,rel_bias,0.031471964762926595,ElasticNet
4,Blue Mountains,topht,rmse,13.349906898342914,ElasticNet
4,Blue Mountains,topht,nrmse,0.21853482645337463,ElasticNet
4,Blue Mountains,topht,mae,10.195496877064887,ElasticNet
4,Blue Mountains,topht,mape,0.16689787858459612,ElasticNet
4,Blue Mountains,topht,bias,-2.618084465073526,ElasticNet
4,Blue Mountains,topht,rel_bias,0.042857425042128014,ElasticNet
4,Blue Mountains,qmd,rmse,3.9878498967980693,ElasticNet
4,Blue Mountains,qmd,nrmse,0.3005459984170957,ElasticNet
4,Blue Mountains,qmd,mae,3.1430211571779783,ElasticNet
4,Blue Mountains,qmd,mape,0.23687512222778717,ElasticNet
4,Blue Mountains,qmd,bias,0.25951412693042897,ElasticNet
4,Blue Mountains,qmd,rel_bias,-0.0195583922163849,ElasticNet
4,Blue Mountains,tcuft,rmse,1061.5376036434168,ElasticNet
4,Blue Mountains,tcuft,nrmse,0.5430840308747806,ElasticNet
4,Blue Mountains,tcuft,mae,902.8446009397185,ElasticNet
4,Blue Mountains,tcuft,mape,0.4618964824693856,ElasticNet
4,Blue Mountains,tcuft,bias,21.265618581522617,ElasticNet
4,Blue Mountains,tcuft,rel_bias,-0.01087951836907173,ElasticNet
5,Blue Mountains,total_cover,rmse,9.201851786982866,ElasticNet
5,Blue Mountains,total_cover,nrmse,0.2857195988652214,ElasticNet
5,Blue Mountains,total_cover,mae,7.527616193322041,ElasticNet
5,Blue Mountains,total_cover,mape,0.2337342014364835,ElasticNet
5,Blue Mountains,total_cover,bias,0.8177183024275317,ElasticNet
5,Blue Mountains,total_cover,rel_bias,-0.025390339984051217,ElasticNet
5,Blue Mountains,topht,rmse,15.595651604480464,ElasticNet
5,Blue Mountains,topht,nrmse,0.24953042567168743,ElasticNet
5,Blue Mountains,topht,mae,11.962696963643058,ElasticNet
5,Blue Mountains,topht,mape,0.19140315141828892,ElasticNet
5,Blue Mountains,topht,bias,1.8620687579595327,ElasticNet
5,Blue Mountains,topht,rel_bias,-0.029793100127352524,ElasticNet
5,Blue Mountains,qmd,rmse,3.4213570931576203,ElasticNet
5,Blue Mountains,qmd,nrmse,0.2576132625551715,ElasticNet
5,Blue Mountains,qmd,mae,2.970694776636495,ElasticNet
5,Blue Mountains,qmd,mape,0.22368035625262264,ElasticNet
5,Blue Mountains,qmd,bias,0.18781140081464293,ElasticNet
5,Blue Mountains,qmd,rel_bias,-0.014141379105290659,ElasticNet
5,Blue Mountains,tcuft,rmse,1096.1826166631029,ElasticNet
5,Blue Mountains,tcuft,nrmse,0.5540967391663396,ElasticNet
5,Blue Mountains,tcuft,mae,912.9499521018774,ElasticNet
5,Blue Mountains,tcuft,mape,0.46147656767411255,ElasticNet
5,Blue Mountains,tcuft,bias,122.87634568345611,ElasticNet
5,Blue Mountains,tcuft,rel_bias,-0.062111350270393946,ElasticNet
1,Cascades,total_cover,rmse,17.40820372708843,ElasticNet
1,Cascades,total_cover,nrmse,0.27851545733796307,ElasticNet
1,Cascades,total_cover,mae,13.934933417215209,ElasticNet
1,Cascades,total_cover,mape,0.22294628524081975,ElasticNet
