CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,TOTAL_COVER,rmse,12.962021626600581,ElasticNet
1,Blue Mountains,TOTAL_COVER,nrmse,0.43753659499073694,ElasticNet
1,Blue Mountains,TOTAL_COVER,mae,10.38920967726393,ElasticNet
1,Blue Mountains,TOTAL_COVER,mape,0.35069062201734785,ElasticNet
1,Blue Mountains,TOTAL_COVER,bias,-2.1133633865058394,ElasticNet
1,Blue Mountains,TOTAL_COVER,rel_bias,0.0713371607259355,ElasticNet
1,Blue Mountains,TOPHT,rmse,16.616038447867854,ElasticNet
1,Blue Mountains,TOPHT,nrmse,0.24305375389168404,ElasticNet
1,Blue Mountains,TOPHT,mae,13.457415227757856,ElasticNet
1,Blue Mountains,TOPHT,mape,0.1968504887039048,ElasticNet
1,Blue Mountains,TOPHT,bias,-2.691196909754861,ElasticNet
1,Blue Mountains,TOPHT,rel_bias,0.03936591224375462,ElasticNet
1,Blue Mountains,BA,rmse,37.215348830657945,ElasticNet
1,Blue Mountains,BA,nrmse,0.508059369701815,ElasticNet
1,Blue Mountains,BA,mae,30.021211152583813,ElasticNet
1,Blue Mountains,BA,mape,0.4098458860420998,ElasticNet
1,Blue Mountains,BA,bias,-3.2171409388367165,ElasticNet
1,Blue Mountains,BA,rel_bias,0.0439200128168835,ElasticNet
1,Blue Mountains,QMD,rmse,3.5580476066091418,ElasticNet
1,Blue Mountains,QMD,nrmse,0.2450894899386039,ElasticNet
1,Blue Mountains,QMD,mae,2.770114972542192,ElasticNet
1,Blue Mountains,QMD,mape,0.19081421632204623,ElasticNet
1,Blue Mountains,QMD,bias,-0.4735751456765007,ElasticNet
1,Blue Mountains,QMD,rel_bias,0.03262134286395003,ElasticNet
1,Blue Mountains,GS_TPA,rmse,46.454024458720724,ElasticNet
1,Blue Mountains,GS_TPA,nrmse,0.6461125576683142,ElasticNet
1,Blue Mountains,GS_TPA,mae,39.440062715585455,ElasticNet
