CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
,Blue Mountains,total_cover,rmse,7.594567409750258,ElasticNet
,Blue Mountains,total_cover,nrmse,0.2343151469432929,ElasticNet
,Blue Mountains,total_cover,mae,5.788851519162903,ElasticNet
,Blue Mountains,total_cover,mape,0.1786034044024852,ElasticNet
,Blue Mountains,total_cover,bias,-2.2480436411508102,ElasticNet
,Blue Mountains,total_cover,rel_bias,0.0693588782206239,ElasticNet
,Blue Mountains,topht,rmse,13.113278026090512,ElasticNet
,Blue Mountains,topht,nrmse,0.22032588104718195,ElasticNet
,Blue Mountains,topht,mae,9.677407621203095,ElasticNet
,Blue Mountains,topht,mape,0.16259728163713444,ElasticNet
,Blue Mountains,topht,bias,5.1605033578419475,ElasticNet
,Blue Mountains,topht,rel_bias,-0.08670543297421734,ElasticNet
,Blue Mountains,qmd,rmse,3.863759135481654,ElasticNet
,Blue Mountains,qmd,nrmse,0.3080156942199623,ElasticNet
,Blue Mountains,qmd,mae,2.8866912409985046,ElasticNet
,Blue Mountains,qmd,mape,0.23012464685741818,ElasticNet
,Blue Mountains,qmd,bias,-2.728525152708283,ElasticNet
,Blue Mountains,qmd,rel_bias,0.21751577664100513,ElasticNet
,Blue Mountains,tcuft,rmse,647.1092883965395,ElasticNet
,Blue Mountains,tcuft,nrmse,0.34945102040447934,ElasticNet
,Blue Mountains,tcuft,mae,511.21939923581755,ElasticNet
,Blue Mountains,tcuft,mape,0.2760679593337092,ElasticNet
,Blue Mountains,tcuft,bias,-21.060077825615092,ElasticNet
,Blue Mountains,tcuft,rel_bias,0.011372832716085456,ElasticNet
,Cascades,total_cover,rmse,15.388611209278164,ElasticNet
,Cascades,total_cover,nrmse,0.23990849311694828,ElasticNet
,Cascades,total_cover,mae,12.021305652163365,ElasticNet
,Cascades,total_cover,mape,0.18741218977381957,ElasticNet
,Cascades,total_cover,bias,-0.24911292346099137,ElasticNet
,Cascades,total_cover,rel_bias,0.0038836711949321832,ElasticNet
,Cascades,topht,rmse,17.037741170532147,ElasticNet
,Cascades,topht,nrmse,0.1666926273121065,ElasticNet
,Cascades,topht,mae,12.570306994705419,ElasticNet
,Cascades,topht,mape,0.12298446596261738,ElasticNet
,Cascades,topht,bias,-5.533376128699839,ElasticNet
,Cascades,topht,rel_bias,0.05413704760313951,ElasticNet
,Cascades,qmd,rmse,4.562158450428062,ElasticNet
,Cascades,qmd,nrmse,0.3419028434826795,ElasticNet
,Cascades,qmd,mae,3.3200626805222675,ElasticNet
,Cascades,qmd,mape,0.24881618719419565,ElasticNet
,Cascades,qmd,bias,-0.6176664645769352,ElasticNet
,Cascades,qmd,rel_bias,0.04628991361379237,ElasticNet
,Cascades,tcuft,rmse,2976.8959427261407,ElasticNet
,Cascades,tcuft,nrmse,0.38289528820302293,ElasticNet
,Cascades,tcuft,mae,2088.91947172762,ElasticNet
,Cascades,tcuft,mape,0.2686816867463595,ElasticNet
,Cascades,tcuft,bias,31.126239859042677,ElasticNet
,Cascades,tcuft,rel_bias,-0.004003529451751807,ElasticNet
,Coast Range,total_cover,rmse,15.119073885734263,ElasticNet
,Coast Range,total_cover,nrmse,0.22036135864069537,ElasticNet
,Coast Range,total_cover,mae,11.769735352887778,ElasticNet
,Coast Range,total_cover,mape,0.17154455972670288,ElasticNet
,Coast Range,total_cover,bias,-1.3963992192640127,ElasticNet
,Coast Range,total_cover,rel_bias,0.020352597750856214,ElasticNet
,Coast Range,topht,rmse,21.170599839867737,ElasticNet
,Coast Range,topht,nrmse,0.19630066370367183,ElasticNet
,Coast Range,topht,mae,14.732295415461783,ElasticNet
,Coast Range,topht,mape,0.13660261824455594,ElasticNet
,Coast Range,topht,bias,0.13482363715854576,ElasticNet
,Coast Range,topht,rel_bias,-0.0012501284638768606,ElasticNet
,Coast Range,qmd,rmse,5.9018773027013545,ElasticNet
,Coast Range,qmd,nrmse,0.4008506177792613,ElasticNet
,Coast Range,qmd,mae,4.153154724834257,ElasticNet
,Coast Range,qmd,mape,0.2820788287856603,ElasticNet
,Coast Range,qmd,bias,-0.9960885773543,ElasticNet
,Coast Range,qmd,rel_bias,0.06765351109766049,ElasticNet
,Coast Range,tcuft,rmse,5037.823573821517,ElasticNet
,Coast Range,tcuft,nrmse,0.5367127671053238,ElasticNet
,Coast Range,tcuft,mae,3202.2473721795154,ElasticNet
,Coast Range,tcuft,mape,0.34115665681688084,ElasticNet
,Coast Range,tcuft,bias,-462.6418861465995,ElasticNet
,Coast Range,tcuft,rel_bias,0.04928830937686281,ElasticNet
,Eastern Cascades,total_cover,rmse,14.737067360068616,ElasticNet
,Eastern Cascades,total_cover,nrmse,0.3314710141194577,ElasticNet
,Eastern Cascades,total_cover,mae,12.167777936420467,ElasticNet
,Eastern Cascades,total_cover,mape,0.2736817029888961,ElasticNet
,Eastern Cascades,total_cover,bias,5.804817809077565,ElasticNet
,Eastern Cascades,total_cover,rel_bias,-0.13056389028710189,ElasticNet
,Eastern Cascades,topht,rmse,14.766580963488787,ElasticNet
,Eastern Cascades,topht,nrmse,0.1920382943034995,ElasticNet
,Eastern Cascades,topht,mae,11.50082689163164,ElasticNet
,Eastern Cascades,topht,mape,0.14956740391087453,ElasticNet
,Eastern Cascades,topht,bias,0.8334273533499122,ElasticNet
,Eastern Cascades,topht,rel_bias,-0.010838661147013637,ElasticNet
,Eastern Cascades,qmd,rmse,3.8981003894846604,ElasticNet
,Eastern Cascades,qmd,nrmse,0.3235402018547185,ElasticNet
,Eastern Cascades,qmd,mae,2.792048477061581,ElasticNet
,Eastern Cascades,qmd,mape,0.23173849762655482,ElasticNet
,Eastern Cascades,qmd,bias,-0.3695272517969403,ElasticNet
,Eastern Cascades,qmd,rel_bias,0.030670559937274272,ElasticNet
,Eastern Cascades,tcuft,rmse,1855.5793176178106,ElasticNet
,Eastern Cascades,tcuft,nrmse,0.47549215511189774,ElasticNet
,Eastern Cascades,tcuft,mae,1261.9631296501605,ElasticNet
,Eastern Cascades,tcuft,mape,0.32337802134993493,ElasticNet
,Eastern Cascades,tcuft,bias,297.4828274558155,ElasticNet
,Eastern Cascades,tcuft,rel_bias,-0.07622996731680581,ElasticNet
,Klamath Mountains,total_cover,rmse,15.95696134810827,ElasticNet
,Klamath Mountains,total_cover,nrmse,0.28412688262817454,ElasticNet
,Klamath Mountains,total_cover,mae,12.291973703164677,ElasticNet
,Klamath Mountains,total_cover,mape,0.21886874909562395,ElasticNet
,Klamath Mountains,total_cover,bias,1.1427082653900684,ElasticNet
,Klamath Mountains,total_cover,rel_bias,-0.020346864927213704,ElasticNet
,Klamath Mountains,topht,rmse,20.72436156150843,ElasticNet
,Klamath Mountains,topht,nrmse,0.23754573083668848,ElasticNet
,Klamath Mountains,topht,mae,15.321170897530841,ElasticNet
,Klamath Mountains,topht,mape,0.17561355158401631,ElasticNet
,Klamath Mountains,topht,bias,6.074209510238935,ElasticNet
,Klamath Mountains,topht,rel_bias,-0.06962349759641277,ElasticNet
,Klamath Mountains,qmd,rmse,7.323230655824129,ElasticNet
,Klamath Mountains,qmd,nrmse,0.7275891532230003,ElasticNet
,Klamath Mountains,qmd,mae,5.506277530755329,ElasticNet
,Klamath Mountains,qmd,mape,0.547068362898949,ElasticNet
,Klamath Mountains,qmd,bias,2.6994366488862838,ElasticNet
,Klamath Mountains,qmd,rel_bias,-0.26819868413953085,ElasticNet
,Klamath Mountains,tcuft,rmse,3307.5591257014844,ElasticNet
,Klamath Mountains,tcuft,nrmse,0.5035995731603716,ElasticNet
,Klamath Mountains,tcuft,mae,2340.784959909965,ElasticNet
,Klamath Mountains,tcuft,mape,0.3564012801799472,ElasticNet
,Klamath Mountains,tcuft,bias,386.60750602502776,ElasticNet
,Klamath Mountains,tcuft,rel_bias,-0.058863762555872,ElasticNet
,North Cascades,total_cover,rmse,18.53199681338328,ElasticNet
,North Cascades,total_cover,nrmse,0.2943400153846276,ElasticNet
,North Cascades,total_cover,mae,14.327363709806608,ElasticNet
,North Cascades,total_cover,mape,0.22755866500690047,ElasticNet
,North Cascades,total_cover,bias,-1.2732943135253552,ElasticNet
,North Cascades,total_cover,rel_bias,0.020223480049465333,ElasticNet
,North Cascades,topht,rmse,28.053664193984503,ElasticNet
,North Cascades,topht,nrmse,0.3213343684972204,ElasticNet
,North Cascades,topht,mae,14.64952933052433,ElasticNet
,North Cascades,topht,mape,0.1677997292494484,ElasticNet
,North Cascades,topht,bias,4.452115914942497,ElasticNet
,North Cascades,topht,rel_bias,-0.05099575749221511,ElasticNet
,North Cascades,qmd,rmse,4.962357927440444,ElasticNet
,North Cascades,qmd,nrmse,0.417393516818571,ElasticNet
,North Cascades,qmd,mae,3.57922078947317,ElasticNet
,North Cascades,qmd,mape,0.3010551787341378,ElasticNet
,North Cascades,qmd,bias,1.1602297910406907,ElasticNet
,North Cascades,qmd,rel_bias,-0.09758917028581503,ElasticNet
,North Cascades,tcuft,rmse,5397.535019207141,ElasticNet
,North Cascades,tcuft,nrmse,0.9030587987456861,ElasticNet
,North Cascades,tcuft,mae,2620.914117269898,ElasticNet
,North Cascades,tcuft,mape,0.4385037884765842,ElasticNet
,North Cascades,tcuft,bias,432.0257316886545,ElasticNet
,North Cascades,tcuft,rel_bias,-0.07228200222836013,ElasticNet
,Northern Rockies,total_cover,rmse,14.74523909797195,ElasticNet
,Northern Rockies,total_cover,nrmse,0.33969663976979214,ElasticNet
,Northern Rockies,total_cover,mae,11.558202606905205,ElasticNet
,Northern Rockies,total_cover,mape,0.26627459624470706,ElasticNet
,Northern Rockies,total_cover,bias,-0.6810624634277789,ElasticNet
,Northern Rockies,total_cover,rel_bias,0.015690124030038534,ElasticNet
,Northern Rockies,topht,rmse,15.910756504248695,ElasticNet
,Northern Rockies,topht,nrmse,0.21421607112833344,ElasticNet
,Northern Rockies,topht,mae,11.67193714302277,ElasticNet
,Northern Rockies,topht,mape,0.15714630015031253,ElasticNet
,Northern Rockies,topht,bias,-3.5324155811941322,ElasticNet
