CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
,Blue Mountains,LIDAR_COVER,rmse,9.621067518488502,ElasticNet
,Blue Mountains,LIDAR_COVER,nrmse,0.28824841369663323,ElasticNet
,Blue Mountains,LIDAR_COVER,mae,7.157173756326008,ElasticNet
,Blue Mountains,LIDAR_COVER,mape,0.21442984137130927,ElasticNet
,Blue Mountains,LIDAR_COVER,bias,0.9749743979430028,ElasticNet
,Blue Mountains,LIDAR_COVER,rel_bias,-0.029210357692828245,ElasticNet
,Blue Mountains,TOPHT,rmse,22.732341296652095,ElasticNet
,Blue Mountains,TOPHT,nrmse,0.3786260940700097,ElasticNet
,Blue Mountains,TOPHT,mae,16.408485574147978,ElasticNet
,Blue Mountains,TOPHT,mape,0.27329700541926677,ElasticNet
,Blue Mountains,TOPHT,bias,-2.6259306525993362,ElasticNet
,Blue Mountains,TOPHT,rel_bias,0.04373706400575755,ElasticNet
,Blue Mountains,BA,rmse,53.2215112307246,ElasticNet
,Blue Mountains,BA,nrmse,0.797661193324941,ElasticNet
,Blue Mountains,BA,mae,42.60687352183844,ElasticNet
,Blue Mountains,BA,mape,0.6385735540266764,ElasticNet
,Blue Mountains,BA,bias,-30.02763348249422,ElasticNet
,Blue Mountains,BA,rel_bias,0.4500412972591984,ElasticNet
,Blue Mountains,QMD,rmse,4.624980739414084,ElasticNet
,Blue Mountains,QMD,nrmse,0.34616464497546556,ElasticNet
,Blue Mountains,QMD,mae,3.6413613389732133,ElasticNet
,Blue Mountains,QMD,mape,0.2725439577274297,ElasticNet
,Blue Mountains,QMD,bias,-2.1269948575483464,ElasticNet
,Blue Mountains,QMD,rel_bias,0.15919859156454375,ElasticNet
,Blue Mountains,GS_TPA,rmse,63.02763583063663,ElasticNet
,Blue Mountains,GS_TPA,nrmse,0.8250217320273616,ElasticNet
,Blue Mountains,GS_TPA,mae,44.55156609447715,ElasticNet
,Blue Mountains,GS_TPA,mape,0.5831729167593268,ElasticNet
,Blue Mountains,GS_TPA,bias,-17.92908762562889,ElasticNet
,Blue Mountains,GS_TPA,rel_bias,0.23468890640788725,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,16.702784051211,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,1.153662645046582,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,12.846940656986797,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.8873392300142497,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-7.474645836645341,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,0.5162743923558946,ElasticNet
