CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
,Blue Mountains,TOTAL_COVER,rmse,11.842313853351968,ElasticNet
,Blue Mountains,TOTAL_COVER,nrmse,0.37718232449860895,ElasticNet
,Blue Mountains,TOTAL_COVER,mae,9.464400330020851,ElasticNet
,Blue Mountains,TOTAL_COVER,mape,0.3014448494330551,ElasticNet
,Blue Mountains,TOTAL_COVER,bias,-2.6669156587181035,ElasticNet
,Blue Mountains,TOTAL_COVER,rel_bias,0.08494230602681666,ElasticNet
,Blue Mountains,TOPHT,rmse,17.822922113225623,ElasticNet
,Blue Mountains,TOPHT,nrmse,0.25417178691546044,ElasticNet
,Blue Mountains,TOPHT,mae,13.588453948122282,ElasticNet
,Blue Mountains,TOPHT,mape,0.1937842515088907,ElasticNet
,Blue Mountains,TOPHT,bias,-3.7807691580214344,ElasticNet
,Blue Mountains,TOPHT,rel_bias,0.053917356912875594,ElasticNet
,Blue Mountains,BA,rmse,38.75710888140404,ElasticNet
,Blue Mountains,BA,nrmse,0.4691440482048963,ElasticNet
,Blue Mountains,BA,mae,30.05076856194235,ElasticNet
,Blue Mountains,BA,mape,0.36375621458138385,ElasticNet
,Blue Mountains,BA,bias,-11.793884442791493,ElasticNet
,Blue Mountains,BA,rel_bias,0.1427616984662842,ElasticNet
,Blue Mountains,QMD,rmse,5.5278938955276695,ElasticNet
,Blue Mountains,QMD,nrmse,0.37418243777480786,ElasticNet
,Blue Mountains,QMD,mae,4.136585788921167,ElasticNet
,Blue Mountains,QMD,mape,0.2800049682240507,ElasticNet
,Blue Mountains,QMD,bias,-3.8869200148349976,ElasticNet
,Blue Mountains,QMD,rel_bias,0.2631051235920691,ElasticNet
,Blue Mountains,GS_TPA,rmse,42.663551004621574,ElasticNet
,Blue Mountains,GS_TPA,nrmse,0.5450134262530033,ElasticNet
,Blue Mountains,GS_TPA,mae,31.113890322859774,ElasticNet
,Blue Mountains,GS_TPA,mape,0.3974701488651292,ElasticNet
,Blue Mountains,GS_TPA,bias,-1.3026326260876646,ElasticNet
,Blue Mountains,GS_TPA,rel_bias,0.01664072150525115,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rmse,11.395604553666587,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,nrmse,0.5204780625810425,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mae,9.178643292433259,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,mape,0.4192215038236854,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,bias,-4.429818188791527,ElasticNet
,Blue Mountains,ABOVEGROUND_LIVE_CARBON,rel_bias,0.20232565789996917,ElasticNet
,Cascades,TOTAL_COVER,rmse,20.51397055465949,ElasticNet
,Cascades,TOTAL_COVER,nrmse,0.31513332307000996,ElasticNet
,Cascades,TOTAL_COVER,mae,16.904641237583327,ElasticNet
,Cascades,TOTAL_COVER,mape,0.25968720947081353,ElasticNet
,Cascades,TOTAL_COVER,bias,0.49522698391163417,ElasticNet
,Cascades,TOTAL_COVER,rel_bias,-0.007607621581506268,ElasticNet
,Cascades,TOPHT,rmse,27.941868142126257,ElasticNet
,Cascades,TOPHT,nrmse,0.2743860470096061,ElasticNet
,Cascades,TOPHT,mae,21.200349078517082,ElasticNet
,Cascades,TOPHT,mape,0.20818507729295269,ElasticNet
,Cascades,TOPHT,bias,-5.2285406409486495,ElasticNet
,Cascades,TOPHT,rel_bias,0.051343689362561076,ElasticNet
,Cascades,BA,rmse,84.93807141615068,ElasticNet
,Cascades,BA,nrmse,0.39977514339005804,ElasticNet
