TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,142.45046692518338
Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.268269631749661
Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,104.70972480527676
Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.667315622415028
Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,83.65014434713385
Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-1.3319793624385485
Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,129.27016671647863
Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,2.058396857401714
Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,96.01711591617529
Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.528901328735094
Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,81.48099126072353
Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.297439468124936
Coast Range,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,140.85347905801302
Coast Range,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.0456654155633944
Coast Range,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,108.43136887556891
Coast Range,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.57478752214271
Coast Range,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,68.44328573246406
Coast Range,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-0.9940262994338874
Coast Range,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,118.32572054452032
Coast Range,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,1.7184867275436602
Coast Range,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,91.58524408125844
Coast Range,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.3301252311687515
Coast Range,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,71.92162011121397
Coast Range,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.0445433927279992
Eastern Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,49.93775668441236
Eastern Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,1.1579593937990484
