SOURCE,TARGET_ECOREGION,TRAIN_ECOREGION,WEIGHTED,MODEL,METRIC,TARGET,SCORE
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,24.041720315644643
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.36932622064566595
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,19.048280714815398
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.29261755955220053
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-13.472142982461124
sentinel,Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.2069575548831512
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,22.374297123557145
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,0.3437114519159144
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,17.623743826514232
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,0.2707339830768413
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,-9.611993340869427
sentinel,Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,0.14765836748980693
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,142.45046692518338
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,2.268269631749661
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,104.70972480527676
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,1.667315622415028
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,83.65014434713385
lidar,Cascades,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,-1.3319793624385485
lidar,Cascades,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,129.27016671647863
lidar,Cascades,Blue Mountains,weighted,ElasticNet,nrmse,TOTAL_COVER,2.058396857401714
lidar,Cascades,Blue Mountains,weighted,ElasticNet,mae,TOTAL_COVER,96.01711591617529
lidar,Cascades,Blue Mountains,weighted,ElasticNet,mape,TOTAL_COVER,1.528901328735094
lidar,Cascades,Blue Mountains,weighted,ElasticNet,bias,TOTAL_COVER,81.48099126072353
lidar,Cascades,Blue Mountains,weighted,ElasticNet,rel_bias,TOTAL_COVER,-1.297439468124936
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,rmse,TOTAL_COVER,30.57548390465719
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,nrmse,TOTAL_COVER,0.43169369252937845
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,mae,TOTAL_COVER,25.59928433620225
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,mape,TOTAL_COVER,0.3614349854826453
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,bias,TOTAL_COVER,-23.227360909084673
sentinel,Coast Range,Blue Mountains,unweighted,ElasticNet,rel_bias,TOTAL_COVER,0.32794591999991196
sentinel,Coast Range,Blue Mountains,weighted,ElasticNet,rmse,TOTAL_COVER,31.718776982940156
