TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,TOTAL_COVER,32.05067042782318
Blue Mountains,Cascades,ElasticNet,rmse,TOPHT,37.03942017291773
Blue Mountains,Cascades,ElasticNet,rmse,BA,152.29609854488672
Blue Mountains,Cascades,ElasticNet,rmse,QMD,4.711102547083869
Blue Mountains,Cascades,ElasticNet,rmse,GS_TPA,249.72981497350025
Blue Mountains,Cascades,ElasticNet,rmse,ABOVEGROUND_LIVE_CARBON,39.21930371927
Blue Mountains,Cascades,ElasticNet,nrmse,TOTAL_COVER,1.2052480522997575
Blue Mountains,Cascades,ElasticNet,nrmse,TOPHT,0.6411696391529275
Blue Mountains,Cascades,ElasticNet,nrmse,BA,2.4838385144741415
Blue Mountains,Cascades,ElasticNet,nrmse,QMD,0.3783816423603061
Blue Mountains,Cascades,ElasticNet,nrmse,GS_TPA,3.1854045136574967
Blue Mountains,Cascades,ElasticNet,nrmse,ABOVEGROUND_LIVE_CARBON,2.8794594165065672
Blue Mountains,Cascades,ElasticNet,mae,TOTAL_COVER,30.721050611004802
Blue Mountains,Cascades,ElasticNet,mae,TOPHT,34.983065489514146
Blue Mountains,Cascades,ElasticNet,mae,BA,149.57265239242744
Blue Mountains,Cascades,ElasticNet,mae,QMD,3.8390377352237057
Blue Mountains,Cascades,ElasticNet,mae,GS_TPA,245.6894737160825
Blue Mountains,Cascades,ElasticNet,mae,ABOVEGROUND_LIVE_CARBON,38.676363445629136
Blue Mountains,Cascades,ElasticNet,mape,TOTAL_COVER,1.1552484213051946
Blue Mountains,Cascades,ElasticNet,mape,TOPHT,0.6055731804564077
Blue Mountains,Cascades,ElasticNet,mape,BA,2.4394210900607316
Blue Mountains,Cascades,ElasticNet,mape,QMD,0.3083400093331221
Blue Mountains,Cascades,ElasticNet,mape,GS_TPA,3.1338683313259605
Blue Mountains,Cascades,ElasticNet,mape,ABOVEGROUND_LIVE_CARBON,2.839597044274607
Blue Mountains,Cascades,ElasticNet,bias,TOTAL_COVER,30.721050611004802
Blue Mountains,Cascades,ElasticNet,bias,TOPHT,34.76615221387873
Blue Mountains,Cascades,ElasticNet,bias,BA,149.57265239242744
Blue Mountains,Cascades,ElasticNet,bias,QMD,-3.8278736552101065
Blue Mountains,Cascades,ElasticNet,bias,GS_TPA,245.61229238517814
Blue Mountains,Cascades,ElasticNet,bias,ABOVEGROUND_LIVE_CARBON,38.676363445629136
Blue Mountains,Cascades,ElasticNet,rel_bias,TOTAL_COVER,-1.1552484213051946
Blue Mountains,Cascades,ElasticNet,rel_bias,TOPHT,-0.6018183104822733
Blue Mountains,Cascades,ElasticNet,rel_bias,BA,-2.4394210900607316
Blue Mountains,Cascades,ElasticNet,rel_bias,QMD,0.30744334387344063
Blue Mountains,Cascades,ElasticNet,rel_bias,GS_TPA,-3.132883852320685
Blue Mountains,Cascades,ElasticNet,rel_bias,ABOVEGROUND_LIVE_CARBON,-2.839597044274607
Blue Mountains,Cascades,Lasso,rmse,TOTAL_COVER,30.590661472418905
Blue Mountains,Cascades,Lasso,rmse,TOPHT,37.34278750307717
Blue Mountains,Cascades,Lasso,rmse,BA,151.88150048730145
Blue Mountains,Cascades,Lasso,rmse,QMD,4.328881519578614
Blue Mountains,Cascades,Lasso,rmse,GS_TPA,257.8477393318193
Blue Mountains,Cascades,Lasso,rmse,ABOVEGROUND_LIVE_CARBON,39.0025718730726
Blue Mountains,Cascades,Lasso,nrmse,TOTAL_COVER,1.1503452085728558
Blue Mountains,Cascades,Lasso,nrmse,TOPHT,0.6464210691348508
Blue Mountains,Cascades,Lasso,nrmse,BA,2.4770767219312226
Blue Mountains,Cascades,Lasso,nrmse,QMD,0.3476827945456678
Blue Mountains,Cascades,Lasso,nrmse,GS_TPA,3.288951913054976
Blue Mountains,Cascades,Lasso,nrmse,ABOVEGROUND_LIVE_CARBON,2.8635470851746025
Blue Mountains,Cascades,Lasso,mae,TOTAL_COVER,29.221487548842195
Blue Mountains,Cascades,Lasso,mae,TOPHT,35.26447502234087
Blue Mountains,Cascades,Lasso,mae,BA,149.14603544728644
Blue Mountains,Cascades,Lasso,mae,QMD,3.3819373062411766
