TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,LIDAR_COVER,0.43206089783145135
Blue Mountains,Cascades,ElasticNet,rmse,TOPHT,18.03315740016307
Blue Mountains,Cascades,ElasticNet,rmse,BA,69.37136908199558
Blue Mountains,Cascades,ElasticNet,rmse,QMD,6.612382764610811
Blue Mountains,Cascades,ElasticNet,rmse,GS_TPA,171.211745181631
Blue Mountains,Cascades,ElasticNet,rmse,ABOVEGROUND_LIVE_CARBON,19.229285750135496
Blue Mountains,Cascades,ElasticNet,nrmse,LIDAR_COVER,0.012847681140839699
Blue Mountains,Cascades,ElasticNet,nrmse,TOPHT,0.3121623656383413
Blue Mountains,Cascades,ElasticNet,nrmse,BA,1.1313965359189855
Blue Mountains,Cascades,ElasticNet,nrmse,QMD,0.5310867732941068
Blue Mountains,Cascades,ElasticNet,nrmse,GS_TPA,2.1838748647237685
Blue Mountains,Cascades,ElasticNet,nrmse,ABOVEGROUND_LIVE_CARBON,1.4118034405266033
Blue Mountains,Cascades,ElasticNet,mae,LIDAR_COVER,0.40137081507833855
Blue Mountains,Cascades,ElasticNet,mae,TOPHT,15.936035369016365
Blue Mountains,Cascades,ElasticNet,mae,BA,65.00089552426229
Blue Mountains,Cascades,ElasticNet,mae,QMD,5.647654402628835
Blue Mountains,Cascades,ElasticNet,mae,GS_TPA,165.0473975498105
Blue Mountains,Cascades,ElasticNet,mae,ABOVEGROUND_LIVE_CARBON,18.16941674713302
Blue Mountains,Cascades,ElasticNet,mape,LIDAR_COVER,0.011935086644607842
Blue Mountains,Cascades,ElasticNet,mape,TOPHT,0.27586020513764503
Blue Mountains,Cascades,ElasticNet,mape,BA,1.0601172933585514
Blue Mountains,Cascades,ElasticNet,mape,QMD,0.4536026815363798
Blue Mountains,Cascades,ElasticNet,mape,GS_TPA,2.105246124410008
Blue Mountains,Cascades,ElasticNet,mape,ABOVEGROUND_LIVE_CARBON,1.3339884491436889
Blue Mountains,Cascades,ElasticNet,bias,LIDAR_COVER,0.3965961336062701
Blue Mountains,Cascades,ElasticNet,bias,TOPHT,10.871900468084464
Blue Mountains,Cascades,ElasticNet,bias,BA,64.94190947486817
Blue Mountains,Cascades,ElasticNet,bias,QMD,-5.632059900204923
Blue Mountains,Cascades,ElasticNet,bias,GS_TPA,162.50396997128155
Blue Mountains,Cascades,ElasticNet,bias,ABOVEGROUND_LIVE_CARBON,17.83124133372874
Blue Mountains,Cascades,ElasticNet,rel_bias,LIDAR_COVER,-0.01179310761940538
Blue Mountains,Cascades,ElasticNet,rel_bias,TOPHT,-0.18819766798415163
Blue Mountains,Cascades,ElasticNet,rel_bias,BA,-1.0591552738275085
Blue Mountains,Cascades,ElasticNet,rel_bias,QMD,0.45235017782202014
Blue Mountains,Cascades,ElasticNet,rel_bias,GS_TPA,-2.0728036798037563
Blue Mountains,Cascades,ElasticNet,rel_bias,ABOVEGROUND_LIVE_CARBON,-1.3091597988053731
Blue Mountains,Cascades,Lasso,rmse,LIDAR_COVER,0.18940559904918883
Blue Mountains,Cascades,Lasso,rmse,TOPHT,17.220018077402536
Blue Mountains,Cascades,Lasso,rmse,BA,61.755094341493624
Blue Mountains,Cascades,Lasso,rmse,QMD,6.6113498870814755
Blue Mountains,Cascades,Lasso,rmse,GS_TPA,167.87591508846162
Blue Mountains,Cascades,Lasso,rmse,ABOVEGROUND_LIVE_CARBON,16.82118784814249
Blue Mountains,Cascades,Lasso,nrmse,LIDAR_COVER,0.005632129070432559
Blue Mountains,Cascades,Lasso,nrmse,TOPHT,0.29808654469618107
Blue Mountains,Cascades,Lasso,nrmse,BA,1.0071806386108897
Blue Mountains,Cascades,Lasso,nrmse,QMD,0.5310038156653986
Blue Mountains,Cascades,Lasso,nrmse,GS_TPA,2.141325006443115
Blue Mountains,Cascades,Lasso,nrmse,ABOVEGROUND_LIVE_CARBON,1.2350022349418008
Blue Mountains,Cascades,Lasso,mae,LIDAR_COVER,0.1713005183468768
Blue Mountains,Cascades,Lasso,mae,TOPHT,15.111706706542659
Blue Mountains,Cascades,Lasso,mae,BA,57.0590648029064
Blue Mountains,Cascades,Lasso,mae,QMD,5.652609810864419
