TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,TOTAL_COVER,21.369209745710855
Blue Mountains,Cascades,ElasticNet,rmse,TOPHT,17.623450035361497
Blue Mountains,Cascades,ElasticNet,rmse,BA,63.283443142166284
Blue Mountains,Cascades,ElasticNet,rmse,QMD,8.434346241982531
Blue Mountains,Cascades,ElasticNet,rmse,GS_TPA,176.40319275992593
Blue Mountains,Cascades,ElasticNet,rmse,ABOVEGROUND_LIVE_CARBON,20.066884650517554
Blue Mountains,Cascades,ElasticNet,nrmse,TOTAL_COVER,0.8035775252565364
Blue Mountains,Cascades,ElasticNet,nrmse,TOPHT,0.30507014005754796
Blue Mountains,Cascades,ElasticNet,nrmse,BA,1.0321068951002657
Blue Mountains,Cascades,ElasticNet,nrmse,QMD,0.6774214212875233
Blue Mountains,Cascades,ElasticNet,nrmse,GS_TPA,2.25009387245447
Blue Mountains,Cascades,ElasticNet,nrmse,ABOVEGROUND_LIVE_CARBON,1.4732994848782432
Blue Mountains,Cascades,ElasticNet,mae,TOTAL_COVER,19.709351983618397
Blue Mountains,Cascades,ElasticNet,mae,TOPHT,15.51965513778971
Blue Mountains,Cascades,ElasticNet,mae,BA,58.70956947256395
Blue Mountains,Cascades,ElasticNet,mae,QMD,7.599412286622244
Blue Mountains,Cascades,ElasticNet,mae,GS_TPA,170.54558097477278
Blue Mountains,Cascades,ElasticNet,mae,ABOVEGROUND_LIVE_CARBON,18.913880144772584
Blue Mountains,Cascades,ElasticNet,mape,TOTAL_COVER,0.7411594757070985
Blue Mountains,Cascades,ElasticNet,mape,TOPHT,0.2686524691266691
Blue Mountains,Cascades,ElasticNet,mape,BA,0.9575103447654646
Blue Mountains,Cascades,ElasticNet,mape,QMD,0.6103620274122687
Blue Mountains,Cascades,ElasticNet,mape,GS_TPA,2.1753776715808977
Blue Mountains,Cascades,ElasticNet,mape,ABOVEGROUND_LIVE_CARBON,1.3886465368017942
Blue Mountains,Cascades,ElasticNet,bias,TOTAL_COVER,19.361416922422183
Blue Mountains,Cascades,ElasticNet,bias,TOPHT,9.992783345127364
Blue Mountains,Cascades,ElasticNet,bias,BA,58.338060099578556
Blue Mountains,Cascades,ElasticNet,bias,QMD,-7.599412286622244
Blue Mountains,Cascades,ElasticNet,bias,GS_TPA,168.02130115128128
Blue Mountains,Cascades,ElasticNet,bias,ABOVEGROUND_LIVE_CARBON,18.626389494019953
Blue Mountains,Cascades,ElasticNet,rel_bias,TOTAL_COVER,-0.7280755667206114
Blue Mountains,Cascades,ElasticNet,rel_bias,TOPHT,-0.17297974054716386
Blue Mountains,Cascades,ElasticNet,rel_bias,BA,-0.9514512973051169
Blue Mountains,Cascades,ElasticNet,rel_bias,QMD,0.6103620274122687
Blue Mountains,Cascades,ElasticNet,rel_bias,GS_TPA,-2.1431794643130244
Blue Mountains,Cascades,ElasticNet,rel_bias,ABOVEGROUND_LIVE_CARBON,-1.3675391334834501
Blue Mountains,Cascades,Lasso,rmse,TOTAL_COVER,20.72567366155453
Blue Mountains,Cascades,Lasso,rmse,TOPHT,16.97164194980846
Blue Mountains,Cascades,Lasso,rmse,BA,64.16572525172496
Blue Mountains,Cascades,Lasso,rmse,QMD,6.002312525064678
Blue Mountains,Cascades,Lasso,rmse,GS_TPA,167.71429769972278
Blue Mountains,Cascades,Lasso,rmse,ABOVEGROUND_LIVE_CARBON,18.300413071451484
Blue Mountains,Cascades,Lasso,nrmse,TOTAL_COVER,0.779377700364864
Blue Mountains,Cascades,Lasso,nrmse,TOPHT,0.2937870380797105
Blue Mountains,Cascades,Lasso,nrmse,BA,1.0464962741145116
Blue Mountains,Cascades,Lasso,nrmse,QMD,0.4820877593928919
Blue Mountains,Cascades,Lasso,nrmse,GS_TPA,2.139263511464516
Blue Mountains,Cascades,Lasso,nrmse,ABOVEGROUND_LIVE_CARBON,1.3436061262520465
Blue Mountains,Cascades,Lasso,mae,TOTAL_COVER,19.061986169634284
Blue Mountains,Cascades,Lasso,mae,TOPHT,14.837697231771566
Blue Mountains,Cascades,Lasso,mae,BA,59.616164154116674
Blue Mountains,Cascades,Lasso,mae,QMD,4.9099152998274755
Blue Mountains,Cascades,Lasso,mae,GS_TPA,161.3063530287614
Blue Mountains,Cascades,Lasso,mae,ABOVEGROUND_LIVE_CARBON,17.152294441122883
Blue Mountains,Cascades,Lasso,mape,TOTAL_COVER,0.7168156359054676
Blue Mountains,Cascades,Lasso,mape,TOPHT,0.25684745969407424
Blue Mountains,Cascades,Lasso,mape,BA,0.972296244132377
Blue Mountains,Cascades,Lasso,mape,QMD,0.3943496870278678
Blue Mountains,Cascades,Lasso,mape,GS_TPA,2.057527592666379
