TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,total_cover,25.9452146707451
Blue Mountains,Cascades,ElasticNet,rmse,topht,27.145964830664497
Blue Mountains,Cascades,ElasticNet,rmse,qmd,15.284736770076986
Blue Mountains,Cascades,ElasticNet,rmse,tcuft,3832.5203438602925
Blue Mountains,Cascades,ElasticNet,nrmse,total_cover,0.7818613357654394
Blue Mountains,Cascades,ElasticNet,nrmse,topht,0.44152158165410565
Blue Mountains,Cascades,ElasticNet,nrmse,qmd,1.155229596555539
Blue Mountains,Cascades,ElasticNet,nrmse,tcuft,1.9002391897954911
Blue Mountains,Cascades,ElasticNet,mae,total_cover,22.334929355248192
Blue Mountains,Cascades,ElasticNet,mae,topht,20.57723609572741
Blue Mountains,Cascades,ElasticNet,mae,qmd,14.446169060198013
Blue Mountains,Cascades,ElasticNet,mae,tcuft,2737.282289948481
Blue Mountains,Cascades,ElasticNet,mape,total_cover,0.6730650688973303
Blue Mountains,Cascades,ElasticNet,mape,topht,0.33468303240386704
Blue Mountains,Cascades,ElasticNet,mape,qmd,1.091850144770377
Blue Mountains,Cascades,ElasticNet,mape,tcuft,1.3571985571390508
Blue Mountains,Cascades,ElasticNet,bias,total_cover,22.05459323487066
Blue Mountains,Cascades,ElasticNet,bias,topht,-6.8591611062513556
Blue Mountains,Cascades,ElasticNet,bias,qmd,-14.446169060198013
Blue Mountains,Cascades,ElasticNet,bias,tcuft,-1347.728120724782
Blue Mountains,Cascades,ElasticNet,rel_bias,total_cover,-0.6646171151485096
Blue Mountains,Cascades,ElasticNet,rel_bias,topht,0.11156235113925367
Blue Mountains,Cascades,ElasticNet,rel_bias,qmd,1.091850144770377
Blue Mountains,Cascades,ElasticNet,rel_bias,tcuft,0.668230188599885
Blue Mountains,Cascades,Lasso,rmse,total_cover,24.099793851864614
Blue Mountains,Cascades,Lasso,rmse,topht,27.528054611749354
Blue Mountains,Cascades,Lasso,rmse,qmd,15.15088948995554
Blue Mountains,Cascades,Lasso,rmse,tcuft,3932.655139612227
Blue Mountains,Cascades,Lasso,nrmse,total_cover,0.7262494163880227
Blue Mountains,Cascades,Lasso,nrmse,topht,0.4477361658669272
Blue Mountains,Cascades,Lasso,nrmse,qmd,1.1451133386349277
Blue Mountains,Cascades,Lasso,nrmse,tcuft,1.9498879968670104
Blue Mountains,Cascades,Lasso,mae,total_cover,20.33115580790079
Blue Mountains,Cascades,Lasso,mae,topht,21.02932160868605
Blue Mountains,Cascades,Lasso,mae,qmd,14.301674808419042
Blue Mountains,Cascades,Lasso,mae,tcuft,2814.2426154404284
Blue Mountains,Cascades,Lasso,mape,total_cover,0.6126811760607442
Blue Mountains,Cascades,Lasso,mape,topht,0.3420360777632616
Blue Mountains,Cascades,Lasso,mape,qmd,1.0809291823293357
Blue Mountains,Cascades,Lasso,mape,tcuft,1.3953570046978478
Blue Mountains,Cascades,Lasso,bias,total_cover,19.75095088142408
Blue Mountains,Cascades,Lasso,bias,topht,-8.092262909715084
Blue Mountains,Cascades,Lasso,bias,qmd,-14.301674808419042
Blue Mountains,Cascades,Lasso,bias,tcuft,-1486.1790532113064
Blue Mountains,Cascades,Lasso,rel_bias,total_cover,-0.5951966493536179
Blue Mountains,Cascades,Lasso,rel_bias,topht,0.1316184096364203
Blue Mountains,Cascades,Lasso,rel_bias,qmd,1.0809291823293357
Blue Mountains,Cascades,Lasso,rel_bias,tcuft,0.7368768921186528
Blue Mountains,Cascades,KNeighborsRegressor,rmse,total_cover,28.40291704711076
Blue Mountains,Cascades,KNeighborsRegressor,rmse,topht,42.86034019820431
Blue Mountains,Cascades,KNeighborsRegressor,rmse,qmd,5.159170981286156
Blue Mountains,Cascades,KNeighborsRegressor,rmse,tcuft,5368.784632315437
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,total_cover,0.8559244139586546
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,topht,0.6971115343510516
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,qmd,0.38993324523195116
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,tcuft,2.661949329568768
Blue Mountains,Cascades,KNeighborsRegressor,mae,total_cover,25.27353205684653
Blue Mountains,Cascades,KNeighborsRegressor,mae,topht,35.47948213433902
Blue Mountains,Cascades,KNeighborsRegressor,mae,qmd,4.307136349216539
Blue Mountains,Cascades,KNeighborsRegressor,mae,tcuft,4542.703850314399
Blue Mountains,Cascades,KNeighborsRegressor,mape,total_cover,0.7616201208679072
Blue Mountains,Cascades,KNeighborsRegressor,mape,topht,0.5770639270307525
Blue Mountains,Cascades,KNeighborsRegressor,mape,qmd,0.32553595536928953
Blue Mountains,Cascades,KNeighborsRegressor,mape,tcuft,2.252362181933655
Blue Mountains,Cascades,KNeighborsRegressor,bias,total_cover,24.900443425613272
Blue Mountains,Cascades,KNeighborsRegressor,bias,topht,35.021034225004975
Blue Mountains,Cascades,KNeighborsRegressor,bias,qmd,-0.37824355882837674
Blue Mountains,Cascades,KNeighborsRegressor,bias,tcuft,4527.074957145037
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,total_cover,-0.7503770620118997
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,topht,-0.5696073990606529
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,qmd,0.02858787563293026
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,tcuft,-2.244613068392451
Blue Mountains,Cascades,RandomForestRegressor,rmse,total_cover,31.768697313369742
Blue Mountains,Cascades,RandomForestRegressor,rmse,topht,33.05951537679093
Blue Mountains,Cascades,RandomForestRegressor,rmse,qmd,4.218292509139913
Blue Mountains,Cascades,RandomForestRegressor,rmse,tcuft,3919.3773588150802
Blue Mountains,Cascades,RandomForestRegressor,nrmse,total_cover,0.9573524995715855
Blue Mountains,Cascades,RandomForestRegressor,nrmse,topht,0.5377038395552085
Blue Mountains,Cascades,RandomForestRegressor,nrmse,qmd,0.3188210845100743
Blue Mountains,Cascades,RandomForestRegressor,nrmse,tcuft,1.9433046112198418
Blue Mountains,Cascades,RandomForestRegressor,mae,total_cover,28.795045977011497
Blue Mountains,Cascades,RandomForestRegressor,mae,topht,26.000063218390807
Blue Mountains,Cascades,RandomForestRegressor,mae,qmd,3.3336385729337503
Blue Mountains,Cascades,RandomForestRegressor,mae,tcuft,3406.89352873563
Blue Mountains,Cascades,RandomForestRegressor,mape,total_cover,0.8677412538967787
Blue Mountains,Cascades,RandomForestRegressor,mape,topht,0.4228838100579548
Blue Mountains,Cascades,RandomForestRegressor,mape,qmd,0.25195840802516106
Blue Mountains,Cascades,RandomForestRegressor,mape,tcuft,1.6892050186074863
Blue Mountains,Cascades,RandomForestRegressor,bias,total_cover,28.53658620689656
Blue Mountains,Cascades,RandomForestRegressor,bias,topht,24.835787356321838
Blue Mountains,Cascades,RandomForestRegressor,bias,qmd,-1.5536429884051293
Blue Mountains,Cascades,RandomForestRegressor,bias,tcuft,3375.5765977011474
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,total_cover,-0.8599525458953933
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,topht,-0.4039471863899794
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,qmd,0.11742527134653163
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,tcuft,-1.673677466418186
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,total_cover,30.350481580164868
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,topht,29.004381738215915
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,qmd,4.8003574098614346
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,tcuft,2844.46034836636
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,total_cover,0.9146144431847396
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,topht,0.47174821671803785
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,qmd,0.36281389973120787
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,tcuft,1.4103395527812828
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,total_cover,27.187798852676522
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,topht,22.125745418529025
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,qmd,3.839697718300735
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,tcuft,2259.8046224376594
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,total_cover,0.8193067198416548
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,topht,0.3598691066390026
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,qmd,0.2902066625505544
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,tcuft,1.1204557104873074
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,total_cover,26.660143882178012
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,topht,18.231986177860353
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,qmd,-2.4535817923634466
Blue Mountains,Cascades,HistGradientBoostingRegressor,bias,tcuft,2039.6827648556266
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,total_cover,-0.8034057906995106
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,topht,-0.29653819358269784
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,qmd,0.1854431873277046
Blue Mountains,Cascades,HistGradientBoostingRegressor,rel_bias,tcuft,-1.0113149512013058
Blue Mountains,Coast Range,ElasticNet,rmse,total_cover,20.94509552150443
Blue Mountains,Coast Range,ElasticNet,rmse,topht,71.2886300964211
Blue Mountains,Coast Range,ElasticNet,rmse,qmd,9.79303351117042
Blue Mountains,Coast Range,ElasticNet,rmse,tcuft,7447.353097764549
Blue Mountains,Coast Range,ElasticNet,nrmse,total_cover,0.6311823035576326
Blue Mountains,Coast Range,ElasticNet,nrmse,topht,1.159489777227264
Blue Mountains,Coast Range,ElasticNet,nrmse,qmd,0.7401633618128247
Blue Mountains,Coast Range,ElasticNet,nrmse,tcuft,3.692544578214227
Blue Mountains,Coast Range,ElasticNet,mae,total_cover,15.495854689897454
Blue Mountains,Coast Range,ElasticNet,mae,topht,66.9974567929286
Blue Mountains,Coast Range,ElasticNet,mae,qmd,8.33451766327443
Blue Mountains,Coast Range,ElasticNet,mae,tcuft,6566.350630369815
Blue Mountains,Coast Range,ElasticNet,mape,total_cover,0.466968949782154
Blue Mountains,Coast Range,ElasticNet,mape,topht,1.089695034770011
