TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,LIDAR_COVER,16.688126922800517
Blue Mountains,Cascades,ElasticNet,rmse,TOPHT,46.13904742370126
Blue Mountains,Cascades,ElasticNet,rmse,BA,200.18254137693063
Blue Mountains,Cascades,ElasticNet,rmse,QMD,19.14242551702426
Blue Mountains,Cascades,ElasticNet,rmse,GS_TPA,95.1092223153453
Blue Mountains,Cascades,ElasticNet,rmse,ABOVEGROUND_LIVE_CARBON,65.59646719536774
Blue Mountains,Cascades,ElasticNet,nrmse,LIDAR_COVER,0.4999784175530911
Blue Mountains,Cascades,ElasticNet,nrmse,TOPHT,0.7684842965436105
Blue Mountains,Cascades,ElasticNet,nrmse,BA,3.0002501083689705
Blue Mountains,Cascades,ElasticNet,nrmse,QMD,1.4327477899744652
Blue Mountains,Cascades,ElasticNet,nrmse,GS_TPA,1.2449645983427489
Blue Mountains,Cascades,ElasticNet,nrmse,ABOVEGROUND_LIVE_CARBON,4.530753293480588
Blue Mountains,Cascades,ElasticNet,mae,LIDAR_COVER,12.955364204564958
Blue Mountains,Cascades,ElasticNet,mae,TOPHT,37.470130478373385
Blue Mountains,Cascades,ElasticNet,mae,BA,174.3017715386504
Blue Mountains,Cascades,ElasticNet,mae,QMD,18.29739328859765
Blue Mountains,Cascades,ElasticNet,mae,GS_TPA,79.09022298121647
Blue Mountains,Cascades,ElasticNet,mae,ABOVEGROUND_LIVE_CARBON,53.69791284936219
Blue Mountains,Cascades,ElasticNet,mape,LIDAR_COVER,0.38814436897483423
Blue Mountains,Cascades,ElasticNet,mape,TOPHT,0.6240962583739473
Blue Mountains,Cascades,ElasticNet,mape,BA,2.61236022557562
Blue Mountains,Cascades,ElasticNet,mape,QMD,1.3694998981825564
Blue Mountains,Cascades,ElasticNet,mape,GS_TPA,1.0352784439786333
Blue Mountains,Cascades,ElasticNet,mape,ABOVEGROUND_LIVE_CARBON,3.7089191826547334
Blue Mountains,Cascades,ElasticNet,bias,LIDAR_COVER,-6.1294863675949625
Blue Mountains,Cascades,ElasticNet,bias,TOPHT,-36.75947492677756
Blue Mountains,Cascades,ElasticNet,bias,BA,-174.3017715386504
Blue Mountains,Cascades,ElasticNet,bias,QMD,-18.29739328859765
