TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,TOTAL_COVER,18.11135318200101
Blue Mountains,Cascades,ElasticNet,rmse,TOPHT,40.60242404940725
Blue Mountains,Cascades,ElasticNet,rmse,BA,137.74074745781343
Blue Mountains,Cascades,ElasticNet,rmse,QMD,15.864085184870596
Blue Mountains,Cascades,ElasticNet,rmse,GS_TPA,127.95851993844634
Blue Mountains,Cascades,ElasticNet,rmse,ABOVEGROUND_LIVE_CARBON,55.04346028441132
Blue Mountains,Cascades,ElasticNet,nrmse,TOTAL_COVER,0.5768536772118081
Blue Mountains,Cascades,ElasticNet,nrmse,TOPHT,0.5790291069094156
Blue Mountains,Cascades,ElasticNet,nrmse,BA,1.667313525961483
Blue Mountains,Cascades,ElasticNet,nrmse,QMD,1.0738379172481316
Blue Mountains,Cascades,ElasticNet,nrmse,GS_TPA,1.6346297888415646
Blue Mountains,Cascades,ElasticNet,nrmse,ABOVEGROUND_LIVE_CARBON,2.5140319174526855
Blue Mountains,Cascades,ElasticNet,mae,TOTAL_COVER,13.259528870649945
Blue Mountains,Cascades,ElasticNet,mae,TOPHT,32.201958440215726
Blue Mountains,Cascades,ElasticNet,mae,BA,108.75205400833747
Blue Mountains,Cascades,ElasticNet,mae,QMD,14.471429072038552
Blue Mountains,Cascades,ElasticNet,mae,GS_TPA,111.54858575018426
Blue Mountains,Cascades,ElasticNet,mae,ABOVEGROUND_LIVE_CARBON,45.54078377966055
Blue Mountains,Cascades,ElasticNet,mape,TOTAL_COVER,0.42232117668225405
Blue Mountains,Cascades,ElasticNet,mape,TOPHT,0.4592304935706034
Blue Mountains,Cascades,ElasticNet,mape,BA,1.316413435898696
Blue Mountains,Cascades,ElasticNet,mape,QMD,0.9795692013266695
Blue Mountains,Cascades,ElasticNet,mape,GS_TPA,1.4249980482590194
Blue Mountains,Cascades,ElasticNet,mape,ABOVEGROUND_LIVE_CARBON,2.0800106566029752
Blue Mountains,Cascades,ElasticNet,bias,TOTAL_COVER,-0.9800867725917561
Blue Mountains,Cascades,ElasticNet,bias,TOPHT,-30.032699803393925
Blue Mountains,Cascades,ElasticNet,bias,BA,-105.09676763723692
Blue Mountains,Cascades,ElasticNet,bias,QMD,-14.467667324019187
Blue Mountains,Cascades,ElasticNet,bias,GS_TPA,99.62421012210191
Blue Mountains,Cascades,ElasticNet,bias,ABOVEGROUND_LIVE_CARBON,-44.63883553281429
Blue Mountains,Cascades,ElasticNet,rel_bias,TOTAL_COVER,0.031216146749215114
Blue Mountains,Cascades,ElasticNet,rel_bias,TOPHT,0.4282948063415351
Blue Mountains,Cascades,ElasticNet,rel_bias,BA,1.2721672086908382
Blue Mountains,Cascades,ElasticNet,rel_bias,QMD,0.9793145690795999
Blue Mountains,Cascades,ElasticNet,rel_bias,GS_TPA,-1.2726679054566783
Blue Mountains,Cascades,ElasticNet,rel_bias,ABOVEGROUND_LIVE_CARBON,2.0388154506921254
Blue Mountains,Cascades,Lasso,rmse,TOTAL_COVER,20.219732575698217
Blue Mountains,Cascades,Lasso,rmse,TOPHT,43.49405889422541
Blue Mountains,Cascades,Lasso,rmse,BA,149.5617350489232
Blue Mountains,Cascades,Lasso,rmse,QMD,15.904705193589002
Blue Mountains,Cascades,Lasso,rmse,GS_TPA,120.29608936338174
Blue Mountains,Cascades,Lasso,rmse,ABOVEGROUND_LIVE_CARBON,59.46569550273281
Blue Mountains,Cascades,Lasso,nrmse,TOTAL_COVER,0.6440063849079132
Blue Mountains,Cascades,Lasso,nrmse,TOPHT,0.6202665645465699
Blue Mountains,Cascades,Lasso,nrmse,BA,1.8104033005172413
Blue Mountains,Cascades,Lasso,nrmse,QMD,1.0765874804944493
Blue Mountains,Cascades,Lasso,nrmse,GS_TPA,1.5367446516974637
Blue Mountains,Cascades,Lasso,nrmse,ABOVEGROUND_LIVE_CARBON,2.7160112339400277
Blue Mountains,Cascades,Lasso,mae,TOTAL_COVER,13.813098801095961
Blue Mountains,Cascades,Lasso,mae,TOPHT,34.90906571384168
Blue Mountains,Cascades,Lasso,mae,BA,120.25674493431411
Blue Mountains,Cascades,Lasso,mae,QMD,14.519364492922788
Blue Mountains,Cascades,Lasso,mae,GS_TPA,104.56770516833087
Blue Mountains,Cascades,Lasso,mae,ABOVEGROUND_LIVE_CARBON,49.71687108881709
Blue Mountains,Cascades,Lasso,mape,TOTAL_COVER,0.4399525953157893
Blue Mountains,Cascades,Lasso,mape,TOPHT,0.49783641288833197
Blue Mountains,Cascades,Lasso,mape,BA,1.4556745270929496
Blue Mountains,Cascades,Lasso,mape,QMD,0.9828139438961201
Blue Mountains,Cascades,Lasso,mape,GS_TPA,1.3358194976089146
Blue Mountains,Cascades,Lasso,mape,ABOVEGROUND_LIVE_CARBON,2.2707475167320608
Blue Mountains,Cascades,Lasso,bias,TOTAL_COVER,-4.799076164464258
Blue Mountains,Cascades,Lasso,bias,TOPHT,-33.17894505193989
Blue Mountains,Cascades,Lasso,bias,BA,-117.33820223761157
Blue Mountains,Cascades,Lasso,bias,QMD,-14.519364492922788
Blue Mountains,Cascades,Lasso,bias,GS_TPA,89.03690487791461
Blue Mountains,Cascades,Lasso,bias,ABOVEGROUND_LIVE_CARBON,-48.91454949535176
Blue Mountains,Cascades,Lasso,rel_bias,TOTAL_COVER,0.15285245143592785
Blue Mountains,Cascades,Lasso,rel_bias,TOPHT,0.47316325001294585
Blue Mountains,Cascades,Lasso,rel_bias,BA,1.4203463776228835
Blue Mountains,Cascades,Lasso,rel_bias,QMD,0.9828139438961201
Blue Mountains,Cascades,Lasso,rel_bias,GS_TPA,-1.1374184156686424
Blue Mountains,Cascades,Lasso,rel_bias,ABOVEGROUND_LIVE_CARBON,2.234102616800059
Blue Mountains,Cascades,KNeighborsRegressor,rmse,TOTAL_COVER,19.807695828080174
Blue Mountains,Cascades,KNeighborsRegressor,rmse,TOPHT,29.435659462262656
Blue Mountains,Cascades,KNeighborsRegressor,rmse,BA,82.96096850935294
Blue Mountains,Cascades,KNeighborsRegressor,rmse,QMD,6.200894965964598
Blue Mountains,Cascades,KNeighborsRegressor,rmse,GS_TPA,85.504096238026
Blue Mountains,Cascades,KNeighborsRegressor,rmse,ABOVEGROUND_LIVE_CARBON,27.785271931002256
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,TOTAL_COVER,0.6308828534621197
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,TOPHT,0.41978044436419454
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,BA,1.0042195027645933
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,QMD,0.4197377950085789
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,GS_TPA,1.092287898030452
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,ABOVEGROUND_LIVE_CARBON,1.2690528558471594
Blue Mountains,Cascades,KNeighborsRegressor,mae,TOTAL_COVER,16.88123029109744
Blue Mountains,Cascades,KNeighborsRegressor,mae,TOPHT,24.40277016257816
Blue Mountains,Cascades,KNeighborsRegressor,mae,BA,70.24581490362831
Blue Mountains,Cascades,KNeighborsRegressor,mae,QMD,4.444009169197321
Blue Mountains,Cascades,KNeighborsRegressor,mae,GS_TPA,73.23005148119923
Blue Mountains,Cascades,KNeighborsRegressor,mae,ABOVEGROUND_LIVE_CARBON,22.130443966142003
Blue Mountains,Cascades,KNeighborsRegressor,mape,TOTAL_COVER,0.5376737823740584
Blue Mountains,Cascades,KNeighborsRegressor,mape,TOPHT,0.3480066657143257
Blue Mountains,Cascades,KNeighborsRegressor,mape,BA,0.8503060967262264
Blue Mountains,Cascades,KNeighborsRegressor,mape,QMD,0.3008144179050169
Blue Mountains,Cascades,KNeighborsRegressor,mape,GS_TPA,0.9354908422444436
Blue Mountains,Cascades,KNeighborsRegressor,mape,ABOVEGROUND_LIVE_CARBON,1.0107766152564335
Blue Mountains,Cascades,KNeighborsRegressor,bias,TOTAL_COVER,15.90858834620709
Blue Mountains,Cascades,KNeighborsRegressor,bias,TOPHT,17.904333166649607
Blue Mountains,Cascades,KNeighborsRegressor,bias,BA,66.8257161330487
Blue Mountains,Cascades,KNeighborsRegressor,bias,QMD,-2.1997963671124383
Blue Mountains,Cascades,KNeighborsRegressor,bias,GS_TPA,59.790351165474966
Blue Mountains,Cascades,KNeighborsRegressor,bias,ABOVEGROUND_LIVE_CARBON,18.74339129314185
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,TOTAL_COVER,-0.5066947562967559
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,TOPHT,-0.25533278581294705
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,BA,-0.8089067501598943
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,QMD,0.14890393752315795
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,GS_TPA,-0.763802903842575
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,ABOVEGROUND_LIVE_CARBON,-0.8560777921443377
Blue Mountains,Cascades,RandomForestRegressor,rmse,TOTAL_COVER,19.47847997117325
Blue Mountains,Cascades,RandomForestRegressor,rmse,TOPHT,23.011494680904704
Blue Mountains,Cascades,RandomForestRegressor,rmse,BA,57.143121479800726
Blue Mountains,Cascades,RandomForestRegressor,rmse,QMD,5.8515078513297265
Blue Mountains,Cascades,RandomForestRegressor,rmse,GS_TPA,73.22606173066036
Blue Mountains,Cascades,RandomForestRegressor,rmse,ABOVEGROUND_LIVE_CARBON,20.290158163278857
Blue Mountains,Cascades,RandomForestRegressor,nrmse,TOTAL_COVER,0.6203971997539293
Blue Mountains,Cascades,RandomForestRegressor,nrmse,TOPHT,0.32816575674204207
Blue Mountains,Cascades,RandomForestRegressor,nrmse,BA,0.6917016287290907
Blue Mountains,Cascades,RandomForestRegressor,nrmse,QMD,0.3960878254628622
Blue Mountains,Cascades,RandomForestRegressor,nrmse,GS_TPA,0.9354398744379699
Blue Mountains,Cascades,RandomForestRegressor,nrmse,ABOVEGROUND_LIVE_CARBON,0.9267241733909053
Blue Mountains,Cascades,RandomForestRegressor,mae,TOTAL_COVER,16.548333093113058
Blue Mountains,Cascades,RandomForestRegressor,mae,TOPHT,18.267004281535897
Blue Mountains,Cascades,RandomForestRegressor,mae,BA,47.380032642745526
Blue Mountains,Cascades,RandomForestRegressor,mae,QMD,4.0393555298611314
Blue Mountains,Cascades,RandomForestRegressor,mae,GS_TPA,62.36379011621001
Blue Mountains,Cascades,RandomForestRegressor,mae,ABOVEGROUND_LIVE_CARBON,15.802276136975458
Blue Mountains,Cascades,RandomForestRegressor,mape,TOTAL_COVER,0.5270708765137916
Blue Mountains,Cascades,RandomForestRegressor,mape,TOPHT,0.26050482015993365
Blue Mountains,Cascades,RandomForestRegressor,mape,BA,0.5735221475398276
Blue Mountains,Cascades,RandomForestRegressor,mape,QMD,0.27342346430083053
Blue Mountains,Cascades,RandomForestRegressor,mape,GS_TPA,0.7966777758765767
Blue Mountains,Cascades,RandomForestRegressor,mape,ABOVEGROUND_LIVE_CARBON,0.7217465321308715
Blue Mountains,Cascades,RandomForestRegressor,bias,TOTAL_COVER,15.158180326620306
Blue Mountains,Cascades,RandomForestRegressor,bias,TOPHT,11.021406783407093
Blue Mountains,Cascades,RandomForestRegressor,bias,BA,41.59580190833705
Blue Mountains,Cascades,RandomForestRegressor,bias,QMD,-2.4158697744255835
Blue Mountains,Cascades,RandomForestRegressor,bias,GS_TPA,51.21182964927337
Blue Mountains,Cascades,RandomForestRegressor,bias,ABOVEGROUND_LIVE_CARBON,10.92512376677109
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,TOTAL_COVER,-0.4827939675948903
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,TOPHT,-0.1571757222897816
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,BA,-0.5035056395800814
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,QMD,0.16352991910217377
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,GS_TPA,-0.6542149934685961
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,ABOVEGROUND_LIVE_CARBON,-0.49898952046010847
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,TOTAL_COVER,17.05273966725669
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,TOPHT,19.623771290786173
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,BA,50.213039206599895
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,QMD,6.577195965967383
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,GS_TPA,84.25876682222874
Blue Mountains,Cascades,HistGradientBoostingRegressor,rmse,ABOVEGROUND_LIVE_CARBON,17.557231463401422
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,TOTAL_COVER,0.5431364230348394
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,TOPHT,0.27985360555989836
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,BA,0.6078149058573962
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,QMD,0.4452095620466652
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,GS_TPA,1.0763792069877447
Blue Mountains,Cascades,HistGradientBoostingRegressor,nrmse,ABOVEGROUND_LIVE_CARBON,0.8019016256068531
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,TOTAL_COVER,14.275559166291464
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,TOPHT,15.573095461074342
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,BA,40.40006946744081
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,QMD,4.7679822639236455
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,GS_TPA,72.51981239343186
Blue Mountains,Cascades,HistGradientBoostingRegressor,mae,ABOVEGROUND_LIVE_CARBON,11.986671340577479
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,TOTAL_COVER,0.45468213868822255
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,TOPHT,0.22208712331234795
Blue Mountains,Cascades,HistGradientBoostingRegressor,mape,BA,0.48903163018973855
