CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,total_cover,rmse,7.52706042356093,ElasticNet
1,Blue Mountains,total_cover,nrmse,0.2481448491283823,ElasticNet
1,Blue Mountains,total_cover,mae,5.432296841546034,ElasticNet
1,Blue Mountains,total_cover,mape,0.17908670906195717,ElasticNet
1,Blue Mountains,total_cover,bias,-3.0671889557654275,ElasticNet
1,Blue Mountains,total_cover,rel_bias,0.10111611942083827,ElasticNet
1,Blue Mountains,topht,rmse,9.92756745517765,ElasticNet
1,Blue Mountains,topht,nrmse,0.17215434893371648,ElasticNet
1,Blue Mountains,topht,mae,6.823062069392881,ElasticNet
1,Blue Mountains,topht,mape,0.11831899542299794,ElasticNet
1,Blue Mountains,topht,bias,3.2972385874868246,ElasticNet
1,Blue Mountains,topht,rel_bias,-0.057177547759887135,ElasticNet
1,Blue Mountains,qmd,rmse,3.232377838581734,ElasticNet
1,Blue Mountains,qmd,nrmse,0.2584878084585919,ElasticNet
1,Blue Mountains,qmd,mae,2.5835799867938944,ElasticNet
1,Blue Mountains,qmd,mape,0.20660453762325376,ElasticNet
1,Blue Mountains,qmd,bias,-2.258285087496432,ElasticNet
1,Blue Mountains,qmd,rel_bias,0.18059125272242263,ElasticNet
1,Blue Mountains,tcuft,rmse,973.469113654158,ElasticNet
1,Blue Mountains,tcuft,nrmse,0.571972003769825,ElasticNet
1,Blue Mountains,tcuft,mae,757.1632343032906,ElasticNet
1,Blue Mountains,tcuft,mape,0.44487921211966935,ElasticNet
1,Blue Mountains,tcuft,bias,-303.84718791067843,ElasticNet
1,Blue Mountains,tcuft,rel_bias,0.17852860709337307,ElasticNet
1,Cascades,total_cover,rmse,14.024029796235501,ElasticNet
1,Cascades,total_cover,nrmse,0.21489623386441115,ElasticNet
1,Cascades,total_cover,mae,10.600131814432858,ElasticNet
1,Cascades,total_cover,mape,0.1624303740426605,ElasticNet
1,Cascades,total_cover,bias,-0.6837538219324227,ElasticNet
1,Cascades,total_cover,rel_bias,0.010477453582073621,ElasticNet
1,Cascades,topht,rmse,16.406484756440054,ElasticNet
1,Cascades,topht,nrmse,0.15582175763747172,ElasticNet
1,Cascades,topht,mae,12.233472332438312,ElasticNet
1,Cascades,topht,mape,0.11618827488939455,ElasticNet
1,Cascades,topht,bias,-5.834758366218718,ElasticNet
1,Cascades,topht,rel_bias,0.055416033203411305,ElasticNet
1,Cascades,qmd,rmse,4.51265116621947,ElasticNet
1,Cascades,qmd,nrmse,0.3205702475031707,ElasticNet
1,Cascades,qmd,mae,3.108876687441248,ElasticNet
1,Cascades,qmd,mape,0.22084874997878545,ElasticNet
1,Cascades,qmd,bias,-0.9546363744811575,ElasticNet
1,Cascades,qmd,rel_bias,0.06781557172728088,ElasticNet
1,Cascades,tcuft,rmse,2887.2261183073797,ElasticNet
1,Cascades,tcuft,nrmse,0.35745491631141063,ElasticNet
1,Cascades,tcuft,mae,1945.2578207224694,ElasticNet
1,Cascades,tcuft,mape,0.2408339156747819,ElasticNet
1,Cascades,tcuft,bias,-391.18164135761714,ElasticNet
1,Cascades,tcuft,rel_bias,0.04843049873628247,ElasticNet
1,Coast Range,total_cover,rmse,14.03248663424073,ElasticNet
1,Coast Range,total_cover,nrmse,0.2013686646565705,ElasticNet
1,Coast Range,total_cover,mae,11.159044095083765,ElasticNet
1,Coast Range,total_cover,mape,0.1601342560902707,ElasticNet
1,Coast Range,total_cover,bias,-0.6516125766477815,ElasticNet
1,Coast Range,total_cover,rel_bias,0.009350755703754904,ElasticNet
1,Coast Range,topht,rmse,21.734766379907953,ElasticNet
1,Coast Range,topht,nrmse,0.19708629895726854,ElasticNet
1,Coast Range,topht,mae,14.76147259661707,ElasticNet
1,Coast Range,topht,mape,0.1338539347685742,ElasticNet
1,Coast Range,topht,bias,-2.0107884954333297,ElasticNet
1,Coast Range,topht,rel_bias,0.018233407970612278,ElasticNet
1,Coast Range,qmd,rmse,6.568560223086211,ElasticNet
1,Coast Range,qmd,nrmse,0.43069497606746476,ElasticNet
1,Coast Range,qmd,mae,4.627029744965204,ElasticNet
1,Coast Range,qmd,mape,0.30339045355283495,ElasticNet
1,Coast Range,qmd,bias,-0.9031415543167535,ElasticNet
1,Coast Range,qmd,rel_bias,0.0592182330543096,ElasticNet
1,Coast Range,tcuft,rmse,5530.9632738708615,ElasticNet
1,Coast Range,tcuft,nrmse,0.5464817310912404,ElasticNet
1,Coast Range,tcuft,mae,3507.7687327963995,ElasticNet
1,Coast Range,tcuft,mape,0.34658185824921106,ElasticNet
1,Coast Range,tcuft,bias,-682.2941341432231,ElasticNet
1,Coast Range,tcuft,rel_bias,0.06741344338723831,ElasticNet
1,Eastern Cascades,total_cover,rmse,14.82702003813302,ElasticNet
1,Eastern Cascades,total_cover,nrmse,0.34029226317026606,ElasticNet
1,Eastern Cascades,total_cover,mae,11.686767387167738,ElasticNet
1,Eastern Cascades,total_cover,mape,0.2682208908530301,ElasticNet
1,Eastern Cascades,total_cover,bias,6.313235556783058,ElasticNet
1,Eastern Cascades,total_cover,rel_bias,-0.14489393081141444,ElasticNet
1,Eastern Cascades,topht,rmse,13.732251113410939,ElasticNet
1,Eastern Cascades,topht,nrmse,0.16389728524105127,ElasticNet
1,Eastern Cascades,topht,mae,10.558199274117063,ElasticNet
1,Eastern Cascades,topht,mape,0.1260143135870749,ElasticNet
1,Eastern Cascades,topht,bias,-1.603615907045338,ElasticNet
1,Eastern Cascades,topht,rel_bias,0.01913949079167496,ElasticNet
1,Eastern Cascades,qmd,rmse,4.817486048835409,ElasticNet
1,Eastern Cascades,qmd,nrmse,0.3535015603842305,ElasticNet
1,Eastern Cascades,qmd,mae,3.3756376787774283,ElasticNet
1,Eastern Cascades,qmd,mape,0.24770039282793405,ElasticNet
1,Eastern Cascades,qmd,bias,-1.1832692533376967,ElasticNet
1,Eastern Cascades,qmd,rel_bias,0.08682693072057301,ElasticNet
1,Eastern Cascades,tcuft,rmse,1819.4035718083105,ElasticNet
1,Eastern Cascades,tcuft,nrmse,0.3965817089947741,ElasticNet
1,Eastern Cascades,tcuft,mae,1259.4961621034815,ElasticNet
1,Eastern Cascades,tcuft,mape,0.27453674829433805,ElasticNet
1,Eastern Cascades,tcuft,bias,177.52434809514375,ElasticNet
1,Eastern Cascades,tcuft,rel_bias,-0.03869559807766103,ElasticNet
1,Klamath Mountains,total_cover,rmse,15.500777656688495,ElasticNet
1,Klamath Mountains,total_cover,nrmse,0.2753622704795715,ElasticNet
1,Klamath Mountains,total_cover,mae,12.696069300838149,ElasticNet
1,Klamath Mountains,total_cover,mape,0.22553826306490288,ElasticNet
1,Klamath Mountains,total_cover,bias,-1.341831740869634,ElasticNet
1,Klamath Mountains,total_cover,rel_bias,0.023836857927446355,ElasticNet
1,Klamath Mountains,topht,rmse,14.08889498471221,ElasticNet
1,Klamath Mountains,topht,nrmse,0.15984956781398038,ElasticNet
1,Klamath Mountains,topht,mae,10.646974322737508,ElasticNet
1,Klamath Mountains,topht,mape,0.12079827735694501,ElasticNet
1,Klamath Mountains,topht,bias,2.028049723659336,ElasticNet
1,Klamath Mountains,topht,rel_bias,-0.023009815332144672,ElasticNet
1,Klamath Mountains,qmd,rmse,6.112751908623748,ElasticNet
1,Klamath Mountains,qmd,nrmse,0.6579912541405585,ElasticNet
1,Klamath Mountains,qmd,mae,4.654107469534195,ElasticNet
1,Klamath Mountains,qmd,mape,0.5009792735843617,ElasticNet
1,Klamath Mountains,qmd,bias,2.7308926342959996,ElasticNet
1,Klamath Mountains,qmd,rel_bias,-0.2939598230428103,ElasticNet
1,Klamath Mountains,tcuft,rmse,2550.092179132915,ElasticNet
1,Klamath Mountains,tcuft,nrmse,0.38596285027892985,ElasticNet
1,Klamath Mountains,tcuft,mae,1889.1400601674734,ElasticNet
1,Klamath Mountains,tcuft,mape,0.285926088540952,ElasticNet
1,Klamath Mountains,tcuft,bias,-64.46645115308617,ElasticNet
1,Klamath Mountains,tcuft,rel_bias,0.009757159148212763,ElasticNet
1,North Cascades,total_cover,rmse,14.782708550300788,ElasticNet
1,North Cascades,total_cover,nrmse,0.23544399802733895,ElasticNet
1,North Cascades,total_cover,mae,11.729712043142088,ElasticNet
1,North Cascades,total_cover,mape,0.18681896418032318,ElasticNet
1,North Cascades,total_cover,bias,-1.7918753621803878,ElasticNet
1,North Cascades,total_cover,rel_bias,0.028539174522915985,ElasticNet
1,North Cascades,topht,rmse,21.79470163795245,ElasticNet
1,North Cascades,topht,nrmse,0.2527004228475466,ElasticNet
1,North Cascades,topht,mae,13.041978446175312,ElasticNet
1,North Cascades,topht,mape,0.15121626911276742,ElasticNet
1,North Cascades,topht,bias,-0.01264890275695499,ElasticNet
1,North Cascades,topht,rel_bias,0.00014665872138731032,ElasticNet
1,North Cascades,qmd,rmse,4.129392868957405,ElasticNet
1,North Cascades,qmd,nrmse,0.34853310791379677,ElasticNet
1,North Cascades,qmd,mae,3.2066006753495966,ElasticNet
1,North Cascades,qmd,mape,0.2706466869790109,ElasticNet
1,North Cascades,qmd,bias,0.3784321679730606,ElasticNet
1,North Cascades,qmd,rel_bias,-0.03194080675387714,ElasticNet
1,North Cascades,tcuft,rmse,3706.872679159641,ElasticNet
1,North Cascades,tcuft,nrmse,0.6030883988563992,ElasticNet
1,North Cascades,tcuft,mae,2212.421605313545,ElasticNet
1,North Cascades,tcuft,mape,0.3599491860201513,ElasticNet
1,North Cascades,tcuft,bias,-308.6468789628148,ElasticNet
1,North Cascades,tcuft,rel_bias,0.05021519975374704,ElasticNet
1,Northern Rockies,total_cover,rmse,15.288890789658005,ElasticNet
1,Northern Rockies,total_cover,nrmse,0.40734167290385453,ElasticNet
1,Northern Rockies,total_cover,mae,11.304358934488496,ElasticNet
1,Northern Rockies,total_cover,mape,0.30118185438246436,ElasticNet
1,Northern Rockies,total_cover,bias,0.3074884675102275,ElasticNet
1,Northern Rockies,total_cover,rel_bias,-0.008192410324428797,ElasticNet
1,Northern Rockies,topht,rmse,17.380069627251984,ElasticNet
1,Northern Rockies,topht,nrmse,0.24341834211837513,ElasticNet
1,Northern Rockies,topht,mae,14.10799899039205,ElasticNet
1,Northern Rockies,topht,mape,0.19759102227439843,ElasticNet
1,Northern Rockies,topht,bias,-2.3807279494571683,ElasticNet
1,Northern Rockies,topht,rel_bias,0.03334352870388191,ElasticNet
1,Northern Rockies,qmd,rmse,3.9085882317090244,ElasticNet
1,Northern Rockies,qmd,nrmse,0.3639885674547021,ElasticNet
1,Northern Rockies,qmd,mae,3.041769144994294,ElasticNet
1,Northern Rockies,qmd,mape,0.28326575427728773,ElasticNet
1,Northern Rockies,qmd,bias,0.9241796303907394,ElasticNet
1,Northern Rockies,qmd,rel_bias,-0.08606453271483522,ElasticNet
1,Northern Rockies,tcuft,rmse,1947.1170491260746,ElasticNet
1,Northern Rockies,tcuft,nrmse,0.8231544815436528,ElasticNet
1,Northern Rockies,tcuft,mae,1435.4028755614318,ElasticNet
1,Northern Rockies,tcuft,mape,0.6068244897600574,ElasticNet
1,Northern Rockies,tcuft,bias,-1013.1706334145279,ElasticNet
1,Northern Rockies,tcuft,rel_bias,0.42832347846674795,ElasticNet
1,Puget Lowland,total_cover,rmse,15.587224660491001,ElasticNet
1,Puget Lowland,total_cover,nrmse,0.2036335763247043,ElasticNet
1,Puget Lowland,total_cover,mae,12.519373142151379,ElasticNet
1,Puget Lowland,total_cover,mape,0.1635547560138541,ElasticNet
1,Puget Lowland,total_cover,bias,-5.774791478351144,ElasticNet
1,Puget Lowland,total_cover,rel_bias,0.07544264401646388,ElasticNet
1,Puget Lowland,topht,rmse,12.086454424412993,ElasticNet
1,Puget Lowland,topht,nrmse,0.10906562647132316,ElasticNet
