CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,total_cover,rmse,6.772602393994959,ElasticNet
1,Blue Mountains,total_cover,nrmse,0.19953941195479086,ElasticNet
1,Blue Mountains,total_cover,mae,5.640899706177297,ElasticNet
1,Blue Mountains,total_cover,mape,0.16619635182844725,ElasticNet
1,Blue Mountains,total_cover,bias,-0.3315198440293508,ElasticNet
1,Blue Mountains,total_cover,rel_bias,0.009767482406410684,ElasticNet
2,Blue Mountains,total_cover,rmse,6.573447813002507,ElasticNet
2,Blue Mountains,total_cover,nrmse,0.18940442851024175,ElasticNet
2,Blue Mountains,total_cover,mae,5.274299831201364,ElasticNet
2,Blue Mountains,total_cover,mape,0.1519713510685139,ElasticNet
2,Blue Mountains,total_cover,bias,0.39960535347316295,ElasticNet
2,Blue Mountains,total_cover,rel_bias,-0.011514052557701306,ElasticNet
3,Blue Mountains,total_cover,rmse,6.786646289901153,ElasticNet
3,Blue Mountains,total_cover,nrmse,0.21524810994089477,ElasticNet
3,Blue Mountains,total_cover,mae,5.727866506117486,ElasticNet
3,Blue Mountains,total_cover,mape,0.18166740784327848,ElasticNet
3,Blue Mountains,total_cover,bias,1.1924969664402303,ElasticNet
3,Blue Mountains,total_cover,rel_bias,-0.03782173214455954,ElasticNet
4,Blue Mountains,total_cover,rmse,8.770970399576113,ElasticNet
4,Blue Mountains,total_cover,nrmse,0.3365835142049524,ElasticNet
4,Blue Mountains,total_cover,mae,6.529547894264694,ElasticNet
4,Blue Mountains,total_cover,mape,0.2505695580191869,ElasticNet
4,Blue Mountains,total_cover,bias,1.1090662336527366,ElasticNet
4,Blue Mountains,total_cover,rel_bias,-0.04256010377448425,ElasticNet
5,Blue Mountains,total_cover,rmse,11.424981919656812,ElasticNet
5,Blue Mountains,total_cover,nrmse,0.3189239616324562,ElasticNet
5,Blue Mountains,total_cover,mae,9.282824050984699,ElasticNet
5,Blue Mountains,total_cover,mape,0.2591264513411164,ElasticNet
5,Blue Mountains,total_cover,bias,-2.6634451809613573,ElasticNet
5,Blue Mountains,total_cover,rel_bias,0.07434904446033345,ElasticNet
1,Blue Mountains,topht,rmse,9.122421342338441,ElasticNet
1,Blue Mountains,topht,nrmse,0.1558604651454809,ElasticNet
1,Blue Mountains,topht,mae,7.375104290565137,ElasticNet
