CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
1,Blue Mountains,total_cover,rmse,8.812680863118882,ElasticNet
1,Blue Mountains,total_cover,nrmse,0.25461999283489545,ElasticNet
1,Blue Mountains,total_cover,mae,7.379210906897677,ElasticNet
1,Blue Mountains,total_cover,mape,0.21320352539993284,ElasticNet
1,Blue Mountains,total_cover,bias,1.22103657134939,ElasticNet
1,Blue Mountains,total_cover,rel_bias,-0.03527874523962924,ElasticNet
2,Blue Mountains,total_cover,rmse,8.751675499952231,ElasticNet
2,Blue Mountains,total_cover,nrmse,0.2467191213768836,ElasticNet
2,Blue Mountains,total_cover,mae,6.424035996351863,ElasticNet
2,Blue Mountains,total_cover,mape,0.18110046661602747,ElasticNet
2,Blue Mountains,total_cover,bias,-4.365266731044667,ElasticNet
2,Blue Mountains,total_cover,rel_bias,0.12306155232389038,ElasticNet
3,Blue Mountains,total_cover,rmse,11.333118818299724,ElasticNet
3,Blue Mountains,total_cover,nrmse,0.3815109305170204,ElasticNet
3,Blue Mountains,total_cover,mae,9.256234866100975,ElasticNet
3,Blue Mountains,total_cover,mape,0.31159602519547835,ElasticNet
3,Blue Mountains,total_cover,bias,3.788227502301906,ElasticNet
3,Blue Mountains,total_cover,rel_bias,-0.1275244901764998,ElasticNet
4,Blue Mountains,total_cover,rmse,11.943191561453647,ElasticNet
4,Blue Mountains,total_cover,nrmse,0.3543355262560419,ElasticNet
4,Blue Mountains,total_cover,mae,9.728519180721648,ElasticNet
4,Blue Mountains,total_cover,mape,0.28862971391320774,ElasticNet
4,Blue Mountains,total_cover,bias,-1.3721756428379857,ElasticNet
4,Blue Mountains,total_cover,rel_bias,0.040710272126083344,ElasticNet
5,Blue Mountains,total_cover,rmse,9.19219593144559,ElasticNet
5,Blue Mountains,total_cover,nrmse,0.2854197823462558,ElasticNet
5,Blue Mountains,total_cover,mae,7.475556381961906,ElasticNet
5,Blue Mountains,total_cover,mape,0.2321177324079496,ElasticNet
5,Blue Mountains,total_cover,bias,0.8228629645472848,ElasticNet
5,Blue Mountains,total_cover,rel_bias,-0.02555008291744994,ElasticNet
1,Blue Mountains,topht,rmse,15.240280559222782,ElasticNet
1,Blue Mountains,topht,nrmse,0.23426562772502996,ElasticNet
1,Blue Mountains,topht,mae,11.433948369788656,ElasticNet
1,Blue Mountains,topht,mape,0.17575667861331837,ElasticNet
1,Blue Mountains,topht,bias,2.2707194780096387,ElasticNet
1,Blue Mountains,topht,rel_bias,-0.034904313069319806,ElasticNet
2,Blue Mountains,topht,rmse,16.544805875892123,ElasticNet
2,Blue Mountains,topht,nrmse,0.26261596628400197,ElasticNet
2,Blue Mountains,topht,mae,13.976014670544274,ElasticNet
2,Blue Mountains,topht,mape,0.22184150270705197,ElasticNet
2,Blue Mountains,topht,bias,-5.985415174541832,ElasticNet
2,Blue Mountains,topht,rel_bias,0.09500659007209257,ElasticNet
3,Blue Mountains,topht,rmse,11.425627129528062,ElasticNet
3,Blue Mountains,topht,nrmse,0.20597631092468405,ElasticNet
3,Blue Mountains,topht,mae,10.158512643359032,ElasticNet
3,Blue Mountains,topht,mape,0.1831333138251363,ElasticNet
3,Blue Mountains,topht,bias,5.6094827468772355,ElasticNet
3,Blue Mountains,topht,rel_bias,-0.1011253517464613,ElasticNet
4,Blue Mountains,topht,rmse,12.650828692151872,ElasticNet
