CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
,Blue Mountains,total_cover,rmse,8.66290591195392,ElasticNet
,Blue Mountains,total_cover,nrmse,0.2672765889350574,ElasticNet
,Blue Mountains,total_cover,mae,6.7468595904880555,ElasticNet
,Blue Mountains,total_cover,mape,0.20816082221106522,ElasticNet
,Blue Mountains,total_cover,bias,-5.0466773396388005,ElasticNet
,Blue Mountains,total_cover,rel_bias,0.15570510848250382,ElasticNet
,Blue Mountains,topht,rmse,13.090564601985397,ElasticNet
,Blue Mountains,topht,nrmse,0.2199442560128007,ElasticNet
,Blue Mountains,topht,mae,9.596172611977964,ElasticNet
,Blue Mountains,topht,mape,0.1612323921759492,ElasticNet
,Blue Mountains,topht,bias,5.13652808983221,ElasticNet
,Blue Mountains,topht,rel_bias,-0.08630260676729351,ElasticNet
,Blue Mountains,qmd,rmse,3.9672102434598995,ElasticNet
,Blue Mountains,qmd,nrmse,0.3162627312956239,ElasticNet
,Blue Mountains,qmd,mae,2.9796384233320956,ElasticNet
,Blue Mountains,qmd,mape,0.237534319636801,ElasticNet
,Blue Mountains,qmd,bias,-2.8302467034273064,ElasticNet
,Blue Mountains,qmd,rel_bias,0.22562493483726132,ElasticNet
,Blue Mountains,tcuft,rmse,641.827802140751,ElasticNet
,Blue Mountains,tcuft,nrmse,0.3465989198483109,ElasticNet
,Blue Mountains,tcuft,mae,513.7579353372361,ElasticNet
,Blue Mountains,tcuft,mape,0.2774388159214309,ElasticNet
,Blue Mountains,tcuft,bias,122.96586413238897,ElasticNet
,Blue Mountains,tcuft,rel_bias,-0.06640384779896738,ElasticNet
,Cascades,total_cover,rmse,15.286908553966553,ElasticNet
,Cascades,total_cover,nrmse,0.23832294842743856,ElasticNet
,Cascades,total_cover,mae,11.978598725304353,ElasticNet
,Cascades,total_cover,mape,0.18674638866096646,ElasticNet
,Cascades,total_cover,bias,0.23122962928256705,ElasticNet
,Cascades,total_cover,rel_bias,-0.003604870587134248,ElasticNet
,Cascades,topht,rmse,16.743141808088748,ElasticNet
,Cascades,topht,nrmse,0.16381034724700627,ElasticNet
,Cascades,topht,mae,12.262197885032336,ElasticNet
,Cascades,topht,mape,0.11997001020371492,ElasticNet
,Cascades,topht,bias,-5.153065085826417,ElasticNet
,Cascades,topht,rel_bias,0.05041618776040263,ElasticNet
,Cascades,qmd,rmse,4.595660919825403,ElasticNet
,Cascades,qmd,nrmse,0.3444136264103456,ElasticNet
,Cascades,qmd,mae,3.3649642704199976,ElasticNet
,Cascades,qmd,mape,0.25218125691497373,ElasticNet
,Cascades,qmd,bias,-0.74900712073073,ElasticNet
,Cascades,qmd,rel_bias,0.056133005275733644,ElasticNet
,Cascades,tcuft,rmse,2986.3658664920035,ElasticNet
,Cascades,tcuft,nrmse,0.3841133318496108,ElasticNet
