CV_FOLD,ECOREGION,TARGET,METRIC,SCORE,MODEL
,Blue Mountains,total_cover,rmse,12.536996904632545,ElasticNet
,Blue Mountains,total_cover,nrmse,0.3778035090762145,ElasticNet
,Blue Mountains,total_cover,mae,10.34517800431944,ElasticNet
,Blue Mountains,total_cover,mape,0.3117528529185283,ElasticNet
,Blue Mountains,total_cover,bias,-4.26554372215774,ElasticNet
,Blue Mountains,total_cover,rel_bias,0.12854253682983144,ElasticNet
,Blue Mountains,topht,rmse,18.942616700269557,ElasticNet
,Blue Mountains,topht,nrmse,0.308096401743027,ElasticNet
,Blue Mountains,topht,mae,15.247887545237335,ElasticNet
,Blue Mountains,topht,mape,0.2480026577744715,ElasticNet
,Blue Mountains,topht,bias,-5.685347822106955,ElasticNet
,Blue Mountains,topht,rel_bias,0.09247060394901946,ElasticNet
,Blue Mountains,qmd,rmse,5.60792735548352,ElasticNet
,Blue Mountains,qmd,nrmse,0.42385052185333555,ElasticNet
,Blue Mountains,qmd,mae,4.369955749369069,ElasticNet
,Blue Mountains,qmd,mape,0.33028388340925025,ElasticNet
,Blue Mountains,qmd,bias,-3.718528906279055,ElasticNet
,Blue Mountains,qmd,rel_bias,0.28104865087311703,ElasticNet
,Blue Mountains,tcuft,rmse,2849.8225800377695,ElasticNet
,Blue Mountains,tcuft,nrmse,1.4129982530235654,ElasticNet
,Blue Mountains,tcuft,mae,2238.363889045809,ElasticNet
,Blue Mountains,tcuft,mape,1.1098249719148638,ElasticNet
,Blue Mountains,tcuft,bias,-1852.757194325027,ElasticNet
,Blue Mountains,tcuft,rel_bias,0.918633565891463,ElasticNet
,Cascades,total_cover,rmse,18.730655628197255,ElasticNet
,Cascades,total_cover,nrmse,0.2864207470323939,ElasticNet
,Cascades,total_cover,mae,14.943279650446215,ElasticNet
,Cascades,total_cover,mape,0.22850589992971393,ElasticNet
,Cascades,total_cover,bias,-2.2214342095844186,ElasticNet
,Cascades,total_cover,rel_bias,0.03396917109696082,ElasticNet
,Cascades,topht,rmse,29.670177807765374,ElasticNet
,Cascades,topht,nrmse,0.28657595852055323,ElasticNet
,Cascades,topht,mae,22.635175369850007,ElasticNet
,Cascades,topht,mape,0.21862683533355382,ElasticNet
,Cascades,topht,bias,-10.621657223844936,ElasticNet
,Cascades,topht,rel_bias,0.10259161976452526,ElasticNet
,Cascades,qmd,rmse,6.026415258097174,ElasticNet
,Cascades,qmd,nrmse,0.43564201861658886,ElasticNet
,Cascades,qmd,mae,4.274038782002793,ElasticNet
,Cascades,qmd,mape,0.3089649157740235,ElasticNet
,Cascades,qmd,bias,-0.610641739523368,ElasticNet
,Cascades,qmd,rel_bias,0.044142527300964796,ElasticNet
,Cascades,tcuft,rmse,4836.741139554634,ElasticNet
,Cascades,tcuft,nrmse,0.6016431807574131,ElasticNet
,Cascades,tcuft,mae,3496.639313401007,ElasticNet
,Cascades,tcuft,mape,0.4349476512753191,ElasticNet
,Cascades,tcuft,bias,-990.2915231819451,ElasticNet
,Cascades,tcuft,rel_bias,0.12318255715854791,ElasticNet
,Coast Range,total_cover,rmse,16.06244582171807,ElasticNet
,Coast Range,total_cover,nrmse,0.22739684636272348,ElasticNet
,Coast Range,total_cover,mae,12.520817658664702,ElasticNet
,Coast Range,total_cover,mape,0.17725783987475643,ElasticNet
,Coast Range,total_cover,bias,-2.499478162469364,ElasticNet
,Coast Range,total_cover,rel_bias,0.03538523696867692,ElasticNet
,Coast Range,topht,rmse,33.571657714455824,ElasticNet
,Coast Range,topht,nrmse,0.30328257575443796,ElasticNet
,Coast Range,topht,mae,25.956879892408622,ElasticNet
,Coast Range,topht,mape,0.2344915303044001,ElasticNet
,Coast Range,topht,bias,-8.852577939206263,ElasticNet
,Coast Range,topht,rel_bias,0.07997319233697868,ElasticNet
,Coast Range,qmd,rmse,8.854077119035312,ElasticNet
,Coast Range,qmd,nrmse,0.5328952888195556,ElasticNet
,Coast Range,qmd,mae,6.019267217388339,ElasticNet
,Coast Range,qmd,mape,0.3622782023657963,ElasticNet
,Coast Range,qmd,bias,-3.3536192005576435,ElasticNet
,Coast Range,qmd,rel_bias,0.20184236577630887,ElasticNet
,Coast Range,tcuft,rmse,6256.576502959143,ElasticNet
,Coast Range,tcuft,nrmse,0.6394755857785018,ElasticNet
,Coast Range,tcuft,mae,4481.204410331656,ElasticNet
,Coast Range,tcuft,mape,0.4580173860152917,ElasticNet
,Coast Range,tcuft,bias,-1542.6147769851505,ElasticNet
,Coast Range,tcuft,rel_bias,0.15766841301734083,ElasticNet
,Eastern Cascades,total_cover,rmse,17.48177745132901,ElasticNet
,Eastern Cascades,total_cover,nrmse,0.4063931644028418,ElasticNet
,Eastern Cascades,total_cover,mae,14.691822690687527,ElasticNet
,Eastern Cascades,total_cover,mape,0.3415359983123497,ElasticNet
,Eastern Cascades,total_cover,bias,8.610824478645622,ElasticNet
,Eastern Cascades,total_cover,rel_bias,-0.20017302117801603,ElasticNet
,Eastern Cascades,topht,rmse,24.10166479177534,ElasticNet
,Eastern Cascades,topht,nrmse,0.3305371171443475,ElasticNet
,Eastern Cascades,topht,mae,18.77812009631608,ElasticNet
,Eastern Cascades,topht,mape,0.25752850417804907,ElasticNet
,Eastern Cascades,topht,bias,7.599322834280267,ElasticNet
,Eastern Cascades,topht,rel_bias,-0.10421928458441508,ElasticNet
,Eastern Cascades,qmd,rmse,5.353267012699559,ElasticNet
,Eastern Cascades,qmd,nrmse,0.4362397713086862,ElasticNet
,Eastern Cascades,qmd,mae,4.141612941834,ElasticNet
,Eastern Cascades,qmd,mape,0.3375016187887952,ElasticNet
,Eastern Cascades,qmd,bias,0.5929617180819782,ElasticNet
,Eastern Cascades,qmd,rel_bias,-0.0483206766404957,ElasticNet
,Eastern Cascades,tcuft,rmse,3259.391911027147,ElasticNet
,Eastern Cascades,tcuft,nrmse,0.9200864804034935,ElasticNet
,Eastern Cascades,tcuft,mae,2583.2061168932555,ElasticNet
,Eastern Cascades,tcuft,mape,0.7292074991681768,ElasticNet
,Eastern Cascades,tcuft,bias,1542.8481090080138,ElasticNet
,Eastern Cascades,tcuft,rel_bias,-0.4355271551149608,ElasticNet
,Klamath Mountains,total_cover,rmse,19.068855833085863,ElasticNet
,Klamath Mountains,total_cover,nrmse,0.3134435000158202,ElasticNet
,Klamath Mountains,total_cover,mae,15.114638331017149,ElasticNet
