TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,total_cover,23.25099301038313
Blue Mountains,Cascades,ElasticNet,nrmse,total_cover,0.7173627607559223
Blue Mountains,Cascades,ElasticNet,mae,total_cover,21.740441401060668
Blue Mountains,Cascades,ElasticNet,mape,total_cover,0.6707577201779154
Blue Mountains,Cascades,ElasticNet,bias,total_cover,21.740441401060668
Blue Mountains,Cascades,ElasticNet,rel_bias,total_cover,-0.6707577201779154
Blue Mountains,Cascades,ElasticNet,rmse,topht,27.53331743018173
Blue Mountains,Cascades,ElasticNet,nrmse,topht,0.4626076263224841
Blue Mountains,Cascades,ElasticNet,mae,topht,25.350477815193077
Blue Mountains,Cascades,ElasticNet,mape,topht,0.42593212379747214
Blue Mountains,Cascades,ElasticNet,bias,topht,25.350477815193077
Blue Mountains,Cascades,ElasticNet,rel_bias,topht,-0.42593212379747214
Blue Mountains,Cascades,ElasticNet,rmse,qmd,4.872057006308514
Blue Mountains,Cascades,ElasticNet,nrmse,qmd,0.3883963695605148
Blue Mountains,Cascades,ElasticNet,mae,qmd,3.9470725005885368
Blue Mountains,Cascades,ElasticNet,mape,qmd,0.31465736702910296
Blue Mountains,Cascades,ElasticNet,bias,qmd,-3.8781731215045037
Blue Mountains,Cascades,ElasticNet,rel_bias,qmd,0.30916476530737397
Blue Mountains,Cascades,ElasticNet,rmse,tcuft,3533.2762932580054
Blue Mountains,Cascades,ElasticNet,nrmse,tcuft,1.9080347449646793
Blue Mountains,Cascades,ElasticNet,mae,tcuft,3404.204969421501
Blue Mountains,Cascades,ElasticNet,mape,tcuft,1.8383338356617298
Blue Mountains,Cascades,ElasticNet,bias,tcuft,3404.204969421501
Blue Mountains,Cascades,ElasticNet,rel_bias,tcuft,-1.8383338356617298
Blue Mountains,Cascades,Lasso,rmse,total_cover,16.83634937958896
Blue Mountains,Cascades,Lasso,nrmse,total_cover,0.5194517957404942
Blue Mountains,Cascades,Lasso,mae,total_cover,15.201995117483277
Blue Mountains,Cascades,Lasso,mape,total_cover,0.4690270725902281
Blue Mountains,Cascades,Lasso,bias,total_cover,14.946120930436306
Blue Mountains,Cascades,Lasso,rel_bias,total_cover,-0.4611325876904123
Blue Mountains,Cascades,Lasso,rmse,topht,28.729720920102924
Blue Mountains,Cascades,Lasso,nrmse,topht,0.4827092860661689
Blue Mountains,Cascades,Lasso,mae,topht,26.537152776382605
Blue Mountains,Cascades,Lasso,mape,topht,0.44587032733594023
Blue Mountains,Cascades,Lasso,bias,topht,26.53560960564074
Blue Mountains,Cascades,Lasso,rel_bias,topht,-0.44584439938317116
Blue Mountains,Cascades,Lasso,rmse,qmd,4.8174021006711545
Blue Mountains,Cascades,Lasso,nrmse,qmd,0.3840393255233173
Blue Mountains,Cascades,Lasso,mae,qmd,3.8834790619919386
Blue Mountains,Cascades,Lasso,mape,qmd,0.3095877505104936
Blue Mountains,Cascades,Lasso,bias,qmd,-3.8066153588838603
Blue Mountains,Cascades,Lasso,rel_bias,qmd,0.30346023944083667
Blue Mountains,Cascades,Lasso,rmse,tcuft,3561.2032062153203
Blue Mountains,Cascades,Lasso,nrmse,tcuft,1.92311579604009
Blue Mountains,Cascades,Lasso,mae,tcuft,3426.7284980190875
Blue Mountains,Cascades,Lasso,mape,tcuft,1.8504969589434852
Blue Mountains,Cascades,Lasso,bias,tcuft,3426.7284980190875
Blue Mountains,Cascades,Lasso,rel_bias,tcuft,-1.8504969589434852
Blue Mountains,Cascades,KNeighborsRegressor,rmse,total_cover,22.247974479186798
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,total_cover,0.6864166354740028
Blue Mountains,Cascades,KNeighborsRegressor,mae,total_cover,20.49859588106155
Blue Mountains,Cascades,KNeighborsRegressor,mape,total_cover,0.6324430671107919
Blue Mountains,Cascades,KNeighborsRegressor,bias,total_cover,20.465350700379343
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,total_cover,-0.631417353732212
Blue Mountains,Cascades,KNeighborsRegressor,rmse,topht,15.04216720149218
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,topht,0.25273457444689373
Blue Mountains,Cascades,KNeighborsRegressor,mae,topht,11.860588235294117
Blue Mountains,Cascades,KNeighborsRegressor,mape,topht,0.19927851354022533
Blue Mountains,Cascades,KNeighborsRegressor,bias,topht,8.825294117647058
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,topht,-0.14828029254793437
Blue Mountains,Cascades,KNeighborsRegressor,rmse,qmd,4.910959987454421
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,qmd,0.39149768315815686
Blue Mountains,Cascades,KNeighborsRegressor,mae,qmd,3.9828380706383046
Blue Mountains,Cascades,KNeighborsRegressor,mape,qmd,0.31750856879964984
Blue Mountains,Cascades,KNeighborsRegressor,bias,qmd,-3.88125120882701
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,qmd,0.3094101478921228
Blue Mountains,Cascades,KNeighborsRegressor,rmse,tcuft,1722.1474807644229
Blue Mountains,Cascades,KNeighborsRegressor,nrmse,tcuft,0.9299915875590904
Blue Mountains,Cascades,KNeighborsRegressor,mae,tcuft,1287.7654259813082
Blue Mountains,Cascades,KNeighborsRegressor,mape,tcuft,0.6954172196567464
Blue Mountains,Cascades,KNeighborsRegressor,bias,tcuft,1238.4785030648015
Blue Mountains,Cascades,KNeighborsRegressor,rel_bias,tcuft,-0.6688013669490104
Blue Mountains,Cascades,RandomForestRegressor,rmse,total_cover,18.768989626279353
Blue Mountains,Cascades,RandomForestRegressor,nrmse,total_cover,0.5790795347490907
Blue Mountains,Cascades,RandomForestRegressor,mae,total_cover,16.352463998168503
Blue Mountains,Cascades,RandomForestRegressor,mape,total_cover,0.5045224827021135
Blue Mountains,Cascades,RandomForestRegressor,bias,total_cover,15.869753212575255
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,total_cover,-0.4896294094623944
Blue Mountains,Cascades,RandomForestRegressor,rmse,topht,15.782016913731663
Blue Mountains,Cascades,RandomForestRegressor,nrmse,topht,0.2651653365620066
Blue Mountains,Cascades,RandomForestRegressor,mae,topht,12.585443887468031
Blue Mountains,Cascades,RandomForestRegressor,mape,topht,0.21145734936445595
Blue Mountains,Cascades,RandomForestRegressor,bias,topht,10.814790946291561
Blue Mountains,Cascades,RandomForestRegressor,rel_bias,topht,-0.18170729994757515
Blue Mountains,Cascades,RandomForestRegressor,rmse,qmd,4.415338932227198
