TARGET_ECOREGION,TRAIN_ECOREGION,MODEL,METRIC,TARGET,SCORE
Blue Mountains,Cascades,ElasticNet,rmse,total_cover,31.753100620837905
Blue Mountains,Cascades,ElasticNet,nrmse,total_cover,0.9568824918645298
Blue Mountains,Cascades,ElasticNet,mae,total_cover,28.785742370521156
Blue Mountains,Cascades,ElasticNet,mape,total_cover,0.8674608888934328
Blue Mountains,Cascades,ElasticNet,bias,total_cover,28.785742370521156
Blue Mountains,Cascades,ElasticNet,rel_bias,total_cover,-0.8674608888934328
Blue Mountains,Cascades,ElasticNet,rmse,topht,27.22003395529977
Blue Mountains,Cascades,ElasticNet,nrmse,topht,0.4427262954030809
Blue Mountains,Cascades,ElasticNet,mae,topht,20.66324962194908
Blue Mountains,Cascades,ElasticNet,mape,topht,0.3360820185286166
Blue Mountains,Cascades,ElasticNet,bias,topht,-7.125494239332011
Blue Mountains,Cascades,ElasticNet,rel_bias,topht,0.11589418560887735
Blue Mountains,Cascades,ElasticNet,rmse,qmd,15.456399205629292
Blue Mountains,Cascades,ElasticNet,nrmse,qmd,1.1682039466637504
Blue Mountains,Cascades,ElasticNet,mae,qmd,14.610950978911754
Blue Mountains,Cascades,ElasticNet,mape,qmd,1.1043044612783322
Blue Mountains,Cascades,ElasticNet,bias,qmd,-14.610950978911754
Blue Mountains,Cascades,ElasticNet,rel_bias,qmd,1.1043044612783322
Blue Mountains,Cascades,ElasticNet,rmse,tcuft,3769.8305368768847
Blue Mountains,Cascades,ElasticNet,nrmse,tcuft,1.8691563468246963
Blue Mountains,Cascades,ElasticNet,mae,tcuft,2702.2491087372964
Blue Mountains,Cascades,ElasticNet,mape,tcuft,1.3398284148024688
Blue Mountains,Cascades,ElasticNet,bias,tcuft,-1245.748664197832
Blue Mountains,Cascades,ElasticNet,rel_bias,tcuft,0.6176667623268842
Blue Mountains,Cascades,Lasso,rmse,total_cover,32.18320282174324
Blue Mountains,Cascades,Lasso,nrmse,total_cover,0.9698436596784418
Blue Mountains,Cascades,Lasso,mae,total_cover,29.222438011556033
Blue Mountains,Cascades,Lasso,mape,total_cover,0.8806207506080272
Blue Mountains,Cascades,Lasso,bias,total_cover,29.222438011556033
Blue Mountains,Cascades,Lasso,rel_bias,total_cover,-0.8806207506080272
Blue Mountains,Cascades,Lasso,rmse,topht,27.560483282769194
Blue Mountains,Cascades,Lasso,nrmse,topht,0.4482636091981529
Blue Mountains,Cascades,Lasso,mae,topht,21.070718366233464
Blue Mountains,Cascades,Lasso,mape,topht,0.34270938453212024
Blue Mountains,Cascades,Lasso,bias,topht,-8.265433830700095
Blue Mountains,Cascades,Lasso,rel_bias,topht,0.13443498659018663
