uuid,lat,lon,orig_id,source,meas_yr,ecoregion3,agency,plot_size_ac,bulk_dens,soil_depth,pct_clay_surf,pct_rock_surf,pct_sand_surf,distance_to_water_m,pot_veg_type
00027724,44.656847048865565,-118.21720597717639,061609823230090,USFS-BLUE-MOUNTAINS,2015,blue_mountains,USFS,0.25,106,118.0,18,22,16,89.72353573,1159
0080963b,43.02867252703184,-123.89874743147291,72-04,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,180.19485869999997,1037
0083eb5e,46.48616548740736,-121.09132455675037,0083eb5e-aed6-4c22-9412-bc116d072ed9,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,0.604645003,1018
008dc9d1,48.17872434539466,-121.98159777815351,008dc9d1-d2a0-4ee5-ba75-592318d06c1b,WA-DNR,2014,north_cascades,WADNR,0.1,97,99.0,13,29,42,1237.1481410000001,1039
00900e38,43.77149536587194,-123.75380944239774,73-25,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,64.71819988,1039
0097fe3e,46.59703733226126,-121.07119120424105,0097fe3e-a001-4728-a741-4d4f7bd1a2b6,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,850.5891516,1056
00c27425,46.56354897340616,-121.02933066165397,00c27425-170c-433d-84cb-da31355b1ab6,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,150.0,29,3,22,123.1636298,1053
00dc5361,47.07307659999999,-121.0084372,61703000140001,USFS-WENATCHEE,2018,eastern_cascades_slopes_and_foothills,USFS,0.25,126,123.0,14,38,52,205.0713449,1018
00e46fbb,43.77049065400438,-123.76202495801701,91-21,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,35.98542394,1039
00f41c3d,43.3486748673234,-124.14375244522076,91-26,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,179.2572957,1036
00f4bb85,47.67718551590525,-124.16241521361147,00f4bb85-3373-4339-b8ee-5084f6a39305,WA-DNR,2017,coast_range,WADNR,0.1,110,87.0,28,45,19,173.5708205,1036
0101140d,47.51271179201878,-121.963137805032,0101140d-0119-4efb-a7c2-d8e7ca49ac59,WA-DNR,2014,cascades,WADNR,0.1,97,99.0,13,29,42,80.81165021,1042
01141105,43.031325765070534,-124.07148715842665,11-06,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,405.8858791,1039
012703c8,43.10385121882525,-123.93918983758579,101-A03,BLM-COOS,2011,coast_range,BLM,0.125,103,113.0,23,16,33,196.4405815,1039
0143cd7b,47.16036157711057,-120.45911363319173,0143cd7b-7780-4f1d-afc8-c7045420ac32,WA-DNR,2014,columbia_plateau,WADNR,0.1,122,139.0,18,31,33,28.14574712,1053
0146811b,46.897678933667045,-120.78777212499887,0146811b-133e-481d-b3f5-da9d6d09e6b9,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,125,145.0,20,4,28,8.733629996,1045
014eda16,43.063603947869616,-124.06841840859528,72-25,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,93.32069658,1037
01738928,42.12077695128326,-124.2179563700514,12-23,BLM-COOS,2011,klamath_mountains_california_high_north_coast_range,BLM,0.125,110,147.0,26,7,16,109.70862199999999,1043
017b4f42,46.486885158337564,-123.86270523717734,017b4f42-40ca-4c24-8af1-bc52d0cd93b9,WA-DNR,2014,coast_range,WADNR,0.1,139,152.0,18,0,25,177.79767080000002,1036
01824617,43.805890939702444,-122.71313548494172,11-09,BLM-LANE,2017,cascades,BLM,0.125,84,103.0,16,28,32,350.2117667,1039
01956562,47.779254828660186,-124.1261808800776,01956562-8554-446e-a517-31d3b8f68916,WA-DNR,2013,coast_range,WADNR,0.1,104,138.0,22,15,26,422.77782469999994,1036
01a041aa,42.579855913905845,-122.38157522085308,061024000220001,USFS-ROGUE,2016,cascades,USFS,0.25,131,126.0,25,37,28,115.78216689999999,1028
01aa0b83,47.68220503422537,-124.31314407823947,01aa0b83-0ed8-4bad-96ff-e9f8587a0ce5,WA-DNR,2013,coast_range,WADNR,0.1,110,87.0,28,45,19,43.80632406,1036
01aed70d,46.59182484114833,-123.39968688646951,01aed70d-7a97-4f8d-aa05-2b58708dc510,WA-DNR,2015,coast_range,WADNR,0.1,95,130.0,19,8,16,17.39165372,1039
01b40564,46.40951366,-121.54840220000001,60305002110001,USFS-GIFFORD-PINCHOT,2018,cascades,USFS,0.25,125,139.0,19,26,34,137.61227419999997,1042
01b7ae24,45.72593711647797,-121.95076194087159,01b7ae24-91ab-45d7-bba6-c2530676deb6,WA-DNR,2016,cascades,WADNR,0.1,113,152.0,28,16,24,25.17278087,1039
01bd3f24,46.08643903022715,-121.36011043695825,01bd3f24-4bc9-4ff6-a0f1-be759c05173e,WA-DNR,2015,eastern_cascades_slopes_and_foothills,WADNR,0.1,106,152.0,16,16,41,406.1863719,1045
01c289ac,48.07582011127147,-123.62781402630787,01c289ac-61ca-451c-87b9-5e49b9c7bac7,WA-DNR,2017,coast_range,WADNR,0.1,133,137.0,14,43,33,100.6099728,1156
01cf0642,46.46686269663789,-121.06336425710032,01cf0642-e1dc-46b8-9c02-8cf44cb0d8f1,WA-DNR,2013,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,150.0,29,3,22,2.228671795,1045
01e2f8e2,46.47808046969366,-121.12337665192433,01e2f8e2-8805-453e-8ba9-bd0a5fcbe167,WA-DNR,2016,eastern_cascades_slopes_and_foothills,WADNR,0.1,128,113.0,20,25,34,32.43262864,1055
01e3ace7,46.772638449026715,-122.15767159904505,01e3ace7-cfee-4ff3-afe2-216b9ca55f40,WA-DNR,2016,cascades,WADNR,0.1,120,132.0,11,37,54,177.7858757,1036
01e9ed92,46.05903284,-121.95449789999999,60303000550001,USFS-GIFFORD-PINCHOT,2018,cascades,USFS,0.25,84,152.0,16,15,49,407.97069780000004,1039
01eac7e9,45.74526444777967,-122.08583447887256,01eac7e9-61f7-41ec-aee4-90d2ec1e1e8a,WA-DNR,2016,cascades,WADNR,0.1,113,152.0,28,16,24,13.84542816,1039
01ef37b1,43.34756528144472,-123.8820758714222,103-04,BLM-COOS,2010,coast_range,BLM,0.125,103,113.0,23,16,33,80.86903255,1158
01f8f2dc,43.64938865536489,-122.47621394054266,61806002180000,USFS-WILLAMETTE,2016,cascades,USFS,0.25,116,132.0,27,31,25,186.4872189,1039
